chr	start	end	type	strand	gene_id	gene_name	subtype	exon_start	exon_end	len
chr18	80137452	80137483	intergenic	.	.	.	intergenic	80137452	80137483	32
chr16	15700738	15700928	intergenic	.	.	.	intergenic	15700738	15700928	191
chr16	15700738	15700936	intergenic	+	.	.	intergenic	15700738	15700936	199
chr9	124353430	124353466	intergenic	.	.	.	intergenic	124353430	124353466	37
chr5	73555464	73555579	intergenic	.	.	.	intergenic	73555464	73555579	116
chr5	140689911	140689955	intergenic	.	.	.	intergenic	140689911	140689955	45
chr3	69027899	69027991	intergenic	.	.	.	intergenic	69027899	69027991	93
chr3	69027899	69027954	intergenic	.	.	.	intergenic	69027899	69027954	56
chr3	101576807	101576918	intergenic	.	.	.	intergenic	101576807	101576918	112
chr11	57189838	57189969	intergenic	.	.	.	intergenic	57189838	57189969	132
chr11	69651724	69651779	intergenic	.	.	.	intergenic	69651724	69651779	56
chr11	69651724	69651769	intergenic	.	.	.	intergenic	69651724	69651769	46
chr11	99022766	99022839	intergenic	.	.	.	intergenic	99022766	99022839	74
chr4	137521493	137521578	intergenic	.	.	.	intergenic	137521493	137521578	86
chr4	145128178	145128244	intergenic	.	.	.	intergenic	145128178	145128244	67
chr10	7807383	7807456	intergenic	.	.	.	intergenic	7807383	7807456	74
chr10	42318502	42318591	intergenic	.	.	.	intergenic	42318502	42318591	90
chr13	49432466	49432545	intergenic	.	.	.	intergenic	49432466	49432545	80
chr2	3497944	3498021	intergenic	.	.	.	intergenic	3497944	3498021	78
chr2	11755568	11755640	intergenic	-	.	.	intergenic	11755568	11755640	73
chr2	121337774	121337821	intergenic	.	.	.	intergenic	121337774	121337821	48
chr2	154857534	154857775	intergenic	.	.	.	intergenic	154857534	154857775	242
chr17	8388917	8388987	intergenic	-	.	.	intergenic	8388917	8388987	71
chr17	78842230	78842272	intergenic	.	.	.	intergenic	78842230	78842272	43
chr17	78972339	78972402	intergenic	.	.	.	intergenic	78972339	78972402	64
chr17	47650024	47650091	intergenic	.	.	.	intergenic	47650024	47650091	68
chr7	19698324	19698403	intergenic	.	.	.	intergenic	19698324	19698403	80
chr7	19698340	19698403	intergenic	.	.	.	intergenic	19698340	19698403	64
chr7	19698338	19698403	intergenic	.	.	.	intergenic	19698338	19698403	66
chr6	43523828	43523883	intergenic	.	.	.	intergenic	43523828	43523883	56
chr9	121766583	121766696	intergenic	.	.	.	intergenic	121766583	121766696	114
chr18	32412476	32412586	intergenic	.	.	.	intergenic	32412476	32412586	111
chr1	185297374	185297472	intergenic	.	.	.	intergenic	185297374	185297472	99
chr15	74544346	74544407	intergenic	.	.	.	intergenic	74544346	74544407	62
chr15	74955336	74955933	intergenic	+	.	.	intergenic	74955336	74955933	598
chr3	88058088	88058129	intergenic	.	.	.	intergenic	88058088	88058129	42
chr12	56734164	56738469	intergenic	.	.	.	intergenic	56734164	56738469	4306
chr2	130359905	130359955	intergenic	.	.	.	intergenic	130359905	130359955	51
chr2	135741888	135754193	intergenic	.	.	.	intergenic	135741888	135754193	12306
chr2	32947730	32947790	intergenic	.	.	.	intergenic	32947730	32947790	61
chr2	121337771	121337821	intergenic	.	.	.	intergenic	121337771	121337821	51
chrX	103609158	103609303	intergenic	.	.	.	intergenic	103609158	103609303	146
chr14	103571716	103571817	intergenic	.	.	.	intergenic	103571716	103571817	102
chr3	101594136	101594202	intergenic	.	.	.	intergenic	101594136	101594202	67
chr16	21976173	21976232	intergenic	.	.	.	intergenic	21976173	21976232	60
chr18	31962607	31962665	intergenic	.	.	.	intergenic	31962607	31962665	59
chr7	44468160	44468282	intergenic	.	.	.	intergenic	44468160	44468282	123
chr7	100498273	100498335	intergenic	.	.	.	intergenic	100498273	100498335	63
chr7	144452408	144452547	intergenic	.	.	.	intergenic	144452408	144452547	140
chr12	31282760	31282821	intergenic	.	.	.	intergenic	31282760	31282821	62
chr8	94488652	94488704	intergenic	.	.	.	intergenic	94488652	94488704	53
chr4	40164778	40164861	intergenic	.	.	.	intergenic	40164778	40164861	84
chr15	83137887	83138131	intergenic	.	.	.	intergenic	83137887	83138131	245
chr1	40465782	40465848	intergenic	.	.	.	intergenic	40465782	40465848	67
chr1	45331205	45331318	intergenic	.	.	.	intergenic	45331205	45331318	114
chr1	151796908	151797009	intergenic	.	.	.	intergenic	151796908	151797009	102
chr17	32225487	32225575	intergenic	.	.	.	intergenic	32225487	32225575	89
chr19	7682618	7682758	intergenic	.	.	.	intergenic	7682618	7682758	141
chr19	37315328	37315404	intergenic	.	.	.	intergenic	37315328	37315404	77
chr19	43966118	43966174	intergenic	.	.	.	intergenic	43966118	43966174	57
chr19	44069602	44069690	intergenic	.	.	.	intergenic	44069602	44069690	89
chr19	53383472	53383556	intergenic	.	.	.	intergenic	53383472	53383556	85
chr19	53943143	53943465	intergenic	.	.	.	intergenic	53943143	53943465	323
chr19	56377945	56378054	intergenic	.	.	.	intergenic	56377945	56378054	110
chr11	6398340	6398539	intergenic	.	.	.	intergenic	6398340	6398539	200
chr11	6403365	6403513	intergenic	.	.	.	intergenic	6403365	6403513	149
chr11	70435573	70435692	intergenic	.	.	.	intergenic	70435573	70435692	120
chr11	118482032	118482089	intergenic	.	.	.	intergenic	118482032	118482089	58
chr6	83151077	83151169	intergenic	.	.	.	intergenic	83151077	83151169	93
chr6	130052878	130052964	intergenic	.	.	.	intergenic	130052878	130052964	87
chr17	7932246	7932412	intergenic	.	.	.	intergenic	7932246	7932412	167
chr18	12413858	12414441	intergenic	.	.	.	intergenic	12413858	12414441	584
chr11	65021821	65021940	intergenic	.	.	.	intergenic	65021821	65021940	120
chr11	65855082	65855186	intergenic	.	.	.	intergenic	65855082	65855186	105
chrX	102127137	102127191	intergenic	.	.	.	intergenic	102127137	102127191	55
chr1	150694764	150694836	intergenic	.	.	.	intergenic	150694764	150694836	73
chr1	160997741	160997860	intergenic	+	.	.	intergenic	160997741	160997860	120
chr1	173865345	173865398	intergenic	.	.	.	intergenic	173865345	173865398	54
chr5	150449600	150449643	intergenic	.	.	.	intergenic	150449600	150449643	44
chr13	55412373	55412445	intergenic	.	.	.	intergenic	55412373	55412445	73
chr15	68184206	68184420	intergenic	.	.	.	intergenic	68184206	68184420	215
chr7	4759133	4759213	intergenic	.	.	.	intergenic	4759133	4759213	81
chr7	5067648	5067718	intergenic	.	.	.	intergenic	5067648	5067718	71
chr7	24710222	24710359	intergenic	.	.	.	intergenic	24710222	24710359	138
chr7	102465814	102465891	intergenic	+	.	.	intergenic	102465814	102465891	78
chr12	69258628	69258768	intergenic	.	.	.	intergenic	69258628	69258768	141
chr12	69817967	69818021	intergenic	.	.	.	intergenic	69817967	69818021	55
chr11	65021835	65021940	intergenic	.	.	.	intergenic	65021835	65021940	106
chr11	67283866	67284240	intergenic	.	.	.	intergenic	67283866	67284240	375
chr11	69652308	69652367	intergenic	+	.	.	intergenic	69652308	69652367	60
chr11	75571881	75572038	intergenic	.	.	.	intergenic	75571881	75572038	158
chr11	116863947	116864047	intergenic	.	.	.	intergenic	116863947	116864047	101
chr2	26940046	26940127	intergenic	.	.	.	intergenic	26940046	26940127	82
chr17	28859072	28860544	intergenic	.	.	.	intergenic	28859072	28860544	1473
chr1	39333952	39334050	intergenic	.	.	.	intergenic	39333952	39334050	99
chr1	75521850	75521927	intergenic	.	.	.	intergenic	75521850	75521927	78
chr1	193181215	193181305	intergenic	.	.	.	intergenic	193181215	193181305	91
chr3	122924657	122924715	intergenic	.	.	.	intergenic	122924657	122924715	59
chr5	116189439	116190059	intergenic	.	.	.	intergenic	116189439	116190059	621
chrX	150987795	150987838	intergenic	.	.	.	intergenic	150987795	150987838	44
chr19	12613562	12614245	intergenic	.	.	.	intergenic	12613562	12614245	684
chr5	34907247	34907297	intergenic	.	.	.	intergenic	34907247	34907297	51
chr13	73691582	73691680	intergenic	-	.	.	intergenic	73691582	73691680	99
chr11	6403365	6403515	intergenic	.	.	.	intergenic	6403365	6403515	151
chr11	65855072	65855186	intergenic	.	.	.	intergenic	65855072	65855186	115
chr11	65855070	65855186	intergenic	.	.	.	intergenic	65855070	65855186	117
chr11	102398463	102398573	intergenic	.	.	.	intergenic	102398463	102398573	111
chr2	167646910	167646967	intergenic	.	.	.	intergenic	167646910	167646967	58
chr2	173112139	173112243	intergenic	.	.	.	intergenic	173112139	173112243	105
chr12	55716123	55716961	intergenic	.	.	.	intergenic	55716123	55716961	839
chr6	47920750	47925274	intergenic	.	.	.	intergenic	47920750	47925274	4525
chr1	156669209	156669370	intergenic	.	.	.	intergenic	156669209	156669370	162
chr17	7236128	7236167	intergenic	.	.	.	intergenic	7236128	7236167	40
chr17	35844571	35844792	intergenic	.	.	.	intergenic	35844571	35844792	222
chr17	46704782	46704832	intergenic	.	.	.	intergenic	46704782	46704832	51
chr14	74736035	74737220	intergenic	.	.	.	intergenic	74736035	74737220	1186
chr2	26391967	26392036	intergenic	.	.	.	intergenic	26391967	26392036	70
chr12	8790867	8790917	intergenic	.	.	.	intergenic	8790867	8790917	51
chr5	112715381	112715518	intergenic	-	.	.	intergenic	112715381	112715518	138
chr15	44528328	44528460	intergenic	.	.	.	intergenic	44528328	44528460	133
chr15	74544346	74544477	intergenic	.	.	.	intergenic	74544346	74544477	132
chr9	95476032	95476106	intergenic	.	.	.	intergenic	95476032	95476106	75
chr7	19698344	19698403	intergenic	.	.	.	intergenic	19698344	19698403	60
chr1	160997741	160997824	intergenic	.	.	.	intergenic	160997741	160997824	84
chr10	42318486	42318591	intergenic	.	.	.	intergenic	42318486	42318591	106
chr19	4394368	4394791	intergenic	.	.	.	intergenic	4394368	4394791	424
chr19	56377943	56378054	intergenic	.	.	.	intergenic	56377943	56378054	112
chr19	58300167	58300241	intergenic	.	.	.	intergenic	58300167	58300241	75
chr13	19675539	19675639	intergenic	.	.	.	intergenic	19675539	19675639	101
chr3	69027899	69028294	intergenic	.	.	.	intergenic	69027899	69028294	396
chr3	88058087	88058129	intergenic	.	.	.	intergenic	88058087	88058129	43
chr3	88100717	88100968	intergenic	.	.	.	intergenic	88100717	88100968	252
chr7	99479734	99479875	intergenic	.	.	.	intergenic	99479734	99479875	142
chr12	56734145	56738469	intergenic	.	.	.	intergenic	56734145	56738469	4325
chr1	156673457	156673529	intergenic	.	.	.	intergenic	156673457	156673529	73
chr15	44526880	44526969	intergenic	.	.	.	intergenic	44526880	44526969	90
chr15	70048366	70048479	intergenic	.	.	.	intergenic	70048366	70048479	114
chrX	48482641	48482721	intergenic	.	.	.	intergenic	48482641	48482721	81
chr4	139388466	139388534	intergenic	.	.	.	intergenic	139388466	139388534	69
chr4	145138484	145138563	intergenic	.	.	.	intergenic	145138484	145138563	80
chr11	3358897	3358994	intergenic	.	.	.	intergenic	3358897	3358994	98
chr11	59202660	59202769	intergenic	.	.	.	intergenic	59202660	59202769	110
chr11	61799767	61799901	intergenic	.	.	.	intergenic	61799767	61799901	135
chr11	61799804	61799901	intergenic	.	.	.	intergenic	61799804	61799901	98
chr11	65855039	65855186	intergenic	.	.	.	intergenic	65855039	65855186	148
chr11	65855085	65855186	intergenic	.	.	.	intergenic	65855085	65855186	102
chr11	78494607	78496988	intergenic	.	.	.	intergenic	78494607	78496988	2382
chr16	15700738	15700935	intergenic	.	.	.	intergenic	15700738	15700935	198
chr14	21092442	21093079	intergenic	.	.	.	intergenic	21092442	21093079	638
chr8	22565699	22565826	intergenic	.	.	.	intergenic	22565699	22565826	128
chr9	95942737	95942855	intergenic	.	.	.	intergenic	95942737	95942855	119
chr9	106861053	106861463	intergenic	.	.	.	intergenic	106861053	106861463	411
chr2	165682883	165683136	intergenic	.	.	.	intergenic	165682883	165683136	254
chr8	22090296	22090479	intergenic	.	.	.	intergenic	22090296	22090479	184
chr8	23135835	23135992	intergenic	.	.	.	intergenic	23135835	23135992	158
chr8	24914268	24914318	intergenic	.	.	.	intergenic	24914268	24914318	51
chr11	70435573	70435725	intergenic	.	.	.	intergenic	70435573	70435725	153
chr9	121766583	121766673	intergenic	.	.	.	intergenic	121766583	121766673	91
chr19	4838996	4839196	intergenic	.	.	.	intergenic	4838996	4839196	201
chr19	6374609	6374670	intergenic	.	.	.	intergenic	6374609	6374670	62
chr2	73573200	73573259	intergenic	.	.	.	intergenic	73573200	73573259	60
chr7	19698345	19698403	intergenic	.	.	.	intergenic	19698345	19698403	59
chr7	19698342	19698403	intergenic	.	.	.	intergenic	19698342	19698403	62
chr7	44112748	44113024	intergenic	.	.	.	intergenic	44112748	44113024	277
chr7	100430827	100431043	intergenic	.	.	.	intergenic	100430827	100431043	217
chr7	141088402	141088453	intergenic	.	.	.	intergenic	141088402	141088453	52
chr6	117907209	117907429	intergenic	+	.	.	intergenic	117907209	117907429	221
chr6	125031023	125032637	intergenic	.	.	.	intergenic	125031023	125032637	1615
chr6	126644174	126644255	intergenic	.	.	.	intergenic	126644174	126644255	82
chr17	35844571	35844726	intergenic	.	.	.	intergenic	35844571	35844726	156
chr17	35844571	35844936	intergenic	.	.	.	intergenic	35844571	35844936	366
chr4	139061936	139062073	intergenic	-	.	.	intergenic	139061936	139062073	138
chr16	15700738	15700944	intergenic	.	.	.	intergenic	15700738	15700944	207
chr16	18784745	18784805	intergenic	.	.	.	intergenic	18784745	18784805	61
chr16	21504488	21506001	intergenic	.	.	.	intergenic	21504488	21506001	1514
chr12	55716130	55716961	intergenic	.	.	.	intergenic	55716130	55716961	832
chr12	75938802	75939597	intergenic	+	.	.	intergenic	75938802	75939597	796
chr12	79295381	79295476	intergenic	.	.	.	intergenic	79295381	79295476	96
chr14	33068643	33068823	intergenic	.	.	.	intergenic	33068643	33068823	181
chr16	21976170	21976232	intergenic	.	.	.	intergenic	21976170	21976232	63
chr4	103149206	103149295	intergenic	.	.	.	intergenic	103149206	103149295	90
chr4	139410530	139410587	intergenic	.	.	.	intergenic	139410530	139410587	58
chr4	150611017	150611096	intergenic	.	.	.	intergenic	150611017	150611096	80
chr9	97482881	97482938	intergenic	.	.	.	intergenic	97482881	97482938	58
chr9	119321934	119322004	intergenic	.	.	.	intergenic	119321934	119322004	71
chr9	124353430	124353464	intergenic	.	.	.	intergenic	124353430	124353464	35
chr6	38149521	38149555	intergenic	-	.	.	intergenic	38149521	38149555	35
chr6	38391565	38391659	intergenic	.	.	.	intergenic	38391565	38391659	95
chr6	117907209	117907488	intergenic	.	.	.	intergenic	117907209	117907488	280
chr6	124494044	124494095	intergenic	.	.	.	intergenic	124494044	124494095	52
chr3	37000122	37000225	intergenic	.	.	.	intergenic	37000122	37000225	104
chr3	85746015	85746088	intergenic	.	.	.	intergenic	85746015	85746088	74
chr3	123350871	123351012	intergenic	.	.	.	intergenic	123350871	123351012	142
chr1	71564968	71565079	intergenic	.	.	.	intergenic	71564968	71565079	112
chr1	75417741	75417783	intergenic	.	.	.	intergenic	75417741	75417783	43
chr1	179043666	179043736	intergenic	.	.	.	intergenic	179043666	179043736	71
chr7	43452958	43453005	intergenic	.	.	.	intergenic	43452958	43453005	48
chr7	130519811	130519876	intergenic	.	.	.	intergenic	130519811	130519876	66
chr7	130536909	130536982	intergenic	.	.	.	intergenic	130536909	130536982	74
chr7	130536916	130536982	intergenic	.	.	.	intergenic	130536916	130536982	67
chr5	32362602	32362676	intergenic	.	.	.	intergenic	32362602	32362676	75
chr5	76640996	76641085	intergenic	.	.	.	intergenic	76640996	76641085	90
chr5	103550315	103550411	intergenic	.	.	.	intergenic	103550315	103550411	97
chr11	73110604	73110722	intergenic	.	.	.	intergenic	73110604	73110722	119
chr11	114710186	114710249	intergenic	.	.	.	intergenic	114710186	114710249	64
chr2	73853721	73853794	intergenic	.	.	.	intergenic	73853721	73853794	74
chr2	158086487	158086555	intergenic	.	.	.	intergenic	158086487	158086555	69
chr13	66998417	66998549	intergenic	.	.	.	intergenic	66998417	66998549	133
chr13	95976481	95976599	intergenic	.	.	.	intergenic	95976481	95976599	119
chrX	74152231	74152291	intergenic	.	.	.	intergenic	74152231	74152291	61
chrX	102127137	102127288	intergenic	.	.	.	intergenic	102127137	102127288	152
chr18	36796111	36796187	intergenic	.	.	.	intergenic	36796111	36796187	77
chr12	55716116	55716961	intergenic	.	.	.	intergenic	55716116	55716961	846
chr12	70292109	70292265	intergenic	-	.	.	intergenic	70292109	70292265	157
chr19	3575563	3575640	intergenic	.	.	.	intergenic	3575563	3575640	78
chr19	10919961	10920403	intergenic	.	.	.	intergenic	10919961	10920403	443
chr6	138416334	138416414	intergenic	.	.	.	intergenic	138416334	138416414	81
chr16	4668632	4668743	intergenic	.	.	.	intergenic	4668632	4668743	112
chr7	19698336	19698403	intergenic	.	.	.	intergenic	19698336	19698403	68
chr4	75950553	75950650	intergenic	.	.	.	intergenic	75950553	75950650	98
chr3	76075737	76075865	intergenic	.	.	.	intergenic	76075737	76075865	129
chr17	7251647	7251686	intergenic	.	.	.	intergenic	7251647	7251686	40
chr11	46277850	46278058	intergenic	.	.	.	intergenic	46277850	46278058	209
chr11	59132371	59132460	intergenic	.	.	.	intergenic	59132371	59132460	90
chr2	37645327	37645470	intergenic	.	.	.	intergenic	37645327	37645470	144
chr2	178430839	178433432	intergenic	.	.	.	intergenic	178430839	178433432	2594
chr16	18418398	18424303	intergenic	.	.	.	intergenic	18418398	18424303	5906
chr8	104497814	104497966	intergenic	.	.	.	intergenic	104497814	104497966	153
chr5	31526249	31526614	intergenic	.	.	.	intergenic	31526249	31526614	366
chr17	7352578	7352621	intergenic	.	.	.	intergenic	7352578	7352621	44
chr7	80743712	80743792	intergenic	-	.	.	intergenic	80743712	80743792	81
chr7	82285131	82285173	intergenic	.	.	.	intergenic	82285131	82285173	43
chr1	156294390	156294434	intergenic	.	.	.	intergenic	156294390	156294434	45
chr1	180973203	180973294	intergenic	.	.	.	intergenic	180973203	180973294	92
chr11	65855083	65855186	intergenic	.	.	.	intergenic	65855083	65855186	104
chr11	70435573	70435846	intergenic	.	.	.	intergenic	70435573	70435846	274
chr11	75571881	75571970	intergenic	.	.	.	intergenic	75571881	75571970	90
chr11	118482032	118482489	intergenic	.	.	.	intergenic	118482032	118482489	458
chr6	30744395	30744458	intergenic	.	.	.	intergenic	30744395	30744458	64
chr6	30895469	30895541	intergenic	.	.	.	intergenic	30895469	30895541	73
chr5	76637072	76637143	intergenic	.	.	.	intergenic	76637072	76637143	72
chr17	32929032	32929137	intergenic	.	.	.	intergenic	32929032	32929137	106
chr11	65855026	65855186	intergenic	.	.	.	intergenic	65855026	65855186	161
chr11	65855033	65855186	intergenic	.	.	.	intergenic	65855033	65855186	154
chr11	65855081	65855186	intergenic	-	.	.	intergenic	65855081	65855186	106
chr11	69641354	69641391	intergenic	.	.	.	intergenic	69641354	69641391	38
chr7	45103458	45103639	intergenic	.	.	.	intergenic	45103458	45103639	182
chr7	100093311	100093371	intergenic	.	.	.	intergenic	100093311	100093371	61
chr3	126998092	126998323	intergenic	.	.	.	intergenic	126998092	126998323	232
chrX	48482639	48482721	intergenic	.	.	.	intergenic	48482639	48482721	83
chr12	31282760	31282868	intergenic	.	.	.	intergenic	31282760	31282868	109
chr12	110545902	110545982	intergenic	.	.	.	intergenic	110545902	110545982	81
chr4	99057759	99061178	intergenic	.	.	.	intergenic	99057759	99061178	3420
chr2	69880664	69880766	intergenic	.	.	.	intergenic	69880664	69880766	103
chr6	43523767	43523883	intergenic	.	.	.	intergenic	43523767	43523883	117
chrX	74197178	74197362	intergenic	.	.	.	intergenic	74197178	74197362	185
chr17	46721879	46721919	intergenic	.	.	.	intergenic	46721879	46721919	41
chr17	46721879	46721922	intergenic	+	.	.	intergenic	46721879	46721922	44
chr1	43990663	43990704	intergenic	.	.	.	intergenic	43990663	43990704	42
chr14	55633236	55633333	intergenic	.	.	.	intergenic	55633236	55633333	98
chr14	74736035	74737211	intergenic	.	.	.	intergenic	74736035	74737211	1177
chr11	65855136	65855186	intergenic	.	.	.	intergenic	65855136	65855186	51
chr13	112882992	112883099	intergenic	.	.	.	intergenic	112882992	112883099	108
chr15	85580908	85581379	intergenic	.	.	.	intergenic	85580908	85581379	472
chr7	44468160	44468276	intergenic	.	.	.	intergenic	44468160	44468276	117
chr7	102465814	102465933	intergenic	.	.	.	intergenic	102465814	102465933	120
chr7	128460986	128461124	intergenic	.	.	.	intergenic	128460986	128461124	139
chr9	121766583	121766693	intergenic	.	.	.	intergenic	121766583	121766693	111
chr15	75896757	75896819	intergenic	.	.	.	intergenic	75896757	75896819	63
chr1	58480896	58480959	intergenic	.	.	.	intergenic	58480896	58480959	64
chr14	59384725	59384783	intergenic	.	.	.	intergenic	59384725	59384783	59
chr14	69714723	69714778	intergenic	.	.	.	intergenic	69714723	69714778	56
chr7	92040867	92042079	intergenic	.	.	.	intergenic	92040867	92042079	1213
chr4	44762475	44764618	intergenic	.	.	.	intergenic	44762475	44764618	2144
chr4	99061015	99061178	intergenic	.	.	.	intergenic	99061015	99061178	164
chr4	145138523	145138563	intergenic	.	.	.	intergenic	145138523	145138563	41
chr4	150166483	150166635	intergenic	.	.	.	intergenic	150166483	150166635	153
chr4	150908251	150908317	intergenic	.	.	.	intergenic	150908251	150908317	67
chr17	32381031	32381083	intergenic	.	.	.	intergenic	32381031	32381083	53
chr17	46935341	46935433	intergenic	.	.	.	intergenic	46935341	46935433	93
chr11	59807742	59807799	intergenic	.	.	.	intergenic	59807742	59807799	58
chr11	60709728	60709944	intergenic	+	.	.	intergenic	60709728	60709944	217
chr11	65855010	65855186	intergenic	.	.	.	intergenic	65855010	65855186	177
chr11	69665926	69666019	intergenic	.	.	.	intergenic	69665926	69666019	94
chr12	69258628	69258861	intergenic	.	.	.	intergenic	69258628	69258861	234
chr6	17656445	17656550	intergenic	.	.	.	intergenic	17656445	17656550	106
chr6	30687309	30693636	intergenic	.	.	.	intergenic	30687309	30693636	6328
chr6	143195316	143195412	intergenic	.	.	.	intergenic	143195316	143195412	97
chr19	11480400	11480451	intergenic	.	.	.	intergenic	11480400	11480451	52
chr19	39539031	39539082	intergenic	.	.	.	intergenic	39539031	39539082	52
chr19	42250092	42250140	intergenic	.	.	.	intergenic	42250092	42250140	49
chr19	43849625	43849775	intergenic	.	.	.	intergenic	43849625	43849775	151
chr19	48645848	48645973	intergenic	.	.	.	intergenic	48645848	48645973	126
chr2	24824894	24824944	intergenic	.	.	.	intergenic	24824894	24824944	51
chr2	37645324	37645470	intergenic	.	.	.	intergenic	37645324	37645470	147
