chr	start	end	cjc_1	cjc_2	ljc_1	ljc_2	adj_cjc_len	adj_ljc_len	pbsi1	pbsi2	delta_pbsi	P	FDR
chr2	25231566	25231667	2,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	61,59,88,78,82,78,303,5,85,172,310,76,14	59,53,85,138,152,74,243,43,90,52,75,66,50,115	102	390	0.1113967437874892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.008568980291345323	1.0	1.0
chr2	75661818	75661855	3,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	88,96,146,73,68,132,83,2,110,75,89,104,24	79,43,122,111,92,85,79,61,180,70,53,134,87,126	38	326	0.2262841277186488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.017406471362972985	1.0	1.0
chr2	121337773	121337821	1,0,0,0,0,0,0,0,0,0,0,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	4,12,20,16,21,2,23,0,10,25,32,13,114	6,0,12,24,18,12,27,100,7,6,165,5,133,20	49	337	0.6322701688555348,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.3459958932238193,0.0	0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.08152217183994617	1.0	1.0
chr9	27328707	27328777	1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	242,153,336,31,139,224,49,0,297,11,104,223,0	235,58,259,249,38,226,27,26,386,142,11,193,41,61	71	359	0.020466336012770037,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,nan	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0018605760011609124	1.0	1.0
chr9	110171068	110171132	1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,1,0,0,0,0,0,0	85,149,193,233,294,122,233,5,153,69,187,226,56	119,61,250,280,157,171,195,112,106,75,90,123,132,268	65	353	0.06005444028581142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04624656098519586,0.0,0.0,0.0,0.0,0.0,0.0	0.0013162465450209542	1.0	1.0
chr9	114597664	114597794	1,2,0,2,0,2,0,0,0,0,0,2,0	1,0,4,0,0,0,1,0,1,0,0,1,0,0	3391,3699,4234,5973,4332,4681,2252,151,4415,3160,2175,4389,418	5621,3152,6246,4772,2122,3457,2188,1326,3729,4115,579,2628,1236,5882	131	419	0.0009423353724360428,0.001726386310869077,0.0,0.0010698313930405101,0.0,0.0013647119366696492,0.0,0.0,0.0,0.0,0.0,0.0014553740293888895,0.0	0.0005686985083539486,0.0,0.002044146739488384,0.0,0.0,0.0,0.0014596912700708398,0.0,0.0008569944244228855,0.0,0.0,0.001215595598325514,0.0,0.0	6.557308552229625e-05	1.0	1.0
chr9	121784883	121785051	1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	336,357,690,809,640,341,513,20,591,568,489,867,160	384,826,899,936,395,705,430,410,323,312,376,249,355,720	169	457	0.007983787844377366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0006141375264905666	1.0	1.0
chr9	124353430	124353467	1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	12,66,25,101,125,15,243,2,25,95,184,64,21	16,112,69,96,131,67,149,20,17,20,18,20,15,96	38	326	0.4168797953964195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.032067676568955344	1.0	1.0
chr3	126597505	126597547	2,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,0,1,1,1,2,8,0,0,2,6,2,30	0,0,2,1,6,0,17,19,0,0,32,0,17,2	43	331	0.9390070921985816,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0	nan,nan,0.0,0.0,0.0,nan,0.0,0.0,nan,nan,0.0,nan,0.0,0.0	0.09390070921985816	0.025709150735099495	1.0
chr3	129280366	129280422	1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	2,2,9,5,1,2,2,0,1,7,1,2,8	3,3,5,3,2,4,3,3,2,1,8,2,11,8	57	345	0.7516339869281046,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.06263616557734204	0.7112806317153335	1.0
chr6	117907209	117907476	1,0,0,0,1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,1,0,0,0,0,0	6,9,1,2,16,11,2,0,4,1,3,21,0	2,9,12,10,3,9,0,2,3,2,2,5,1,8	268	556	0.2569316081330869,0.0,0.0,0.0,0.11478117258464071,0.0,0.0,nan,0.0,0.0,0.0,0.0,nan	0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.4088235294117647,0.0,0.0,0.0,0.0,0.0	0.0023441071734338972	1.0	1.0
chr6	130052896	130052964	3,0,0,2,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,1,0,0,0,0,0,0,0	69,143,131,145,92,96,162,1,130,54,169,101,56	71,33,115,110,91,93,106,49,75,57,59,65,28,117	69	357	0.183641975308642,0.0,0.0,0.06661069129582986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.046538912788423925,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.015925997067104916	1.0	1.0
chr1	36428247	36428299	1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,0,3,1,0,0,0,0,1,3,2,2	1,0,4,2,2,0,3,2,1,3,0,0,0,2	53	341	1.0,0.0,nan,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0	0.0,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0	0.125	0.724680085960913	1.0
chr1	52464589	52464784	1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	4,5,5,10,11,2,15,3,7,37,45,15,12	4,1,16,14,30,11,46,6,3,0,9,2,12,4	196	484	0.3817034700315457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0	0.029361805387041976	1.0	1.0
chr1	182887532	182887586	1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	1524,2109,2649,1513,2296,1861,433,17,2544,554,625,2804,169	2739,518,3062,2757,342,1882,386,461,1692,1475,384,1508,468,2351	55	343	0.004075425068022831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0003134942360017562	1.0	1.0
chr4	109710859	109710924	1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	62,61,66,87,35,94,339,15,50,387,209,58,112	57,7,60,49,346,34,268,231,80,47,137,76,251,56	66	354	0.07962213225371118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.006124779404131629	1.0	1.0
chr4	137521493	137521575	1,1,0,1,2,4,4,1,2,2,0,1,0	7,0,2,0,1,0,5,7,0,3,0,2,2,0	499,1057,184,819,1296,912,306,4,229,325,166,509,5	702,1410,1148,3340,198,1515,257,14,740,228,36,441,12,606	83	371	0.008878146836412304,0.004211028126489769,0.0,0.005428103236378545,0.0068507063059735085,0.01922777921741392,0.055204225876050894,0.5277382645803699,0.03757152260873964,0.026770574015946846,0.0,0.00870524191656108,0.0	0.042669602221382386,0.0,0.00772707391748062,0.0,0.022076762868194044,0.0,0.08000517553696196,0.6908752327746741,0.0,0.055547237610420686,0.0,0.019868791002811692,0.42692750287687,0.0	-0.04223004190345951	1.0	1.0
chr7	44104500	44104621	1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	43,155,144,300,199,67,323,29,71,272,283,190,0	89,306,131,155,376,98,465,0,63,40,5,42,1,153	122	410	0.07248939179632241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan	0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0	0.006040782649693534	1.0	1.0
chr7	79459638	79459688	4,0,0,0,0,0,0,0,1,0,0,0,1	0,1,0,0,0,0,0,0,0,0,0,0,0,0	12,31,14,193,175,11,331,5,6,274,414,110,101	4,26,95,120,259,72,223,97,13,8,102,11,109,165	51	339	0.6890243902439024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5255813953488372,0.0,0.0,0.0,0.061748633879781356	0.0,0.20360360360360363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.08363799464707936	1.0	1.0
chr7	141655248	141655308	2,1,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,1,1,1,1,0	13,11,24,7,10,14,36,2,23,49,68,22,13	7,7,23,24,29,12,35,40,17,5,31,17,35,16	61	349	0.46814218645204564,0.34215686274509804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.533639143730887,0.15580357142857149,0.2518037518037518,0.140499194847021,0.0	-0.014936851180071396	1.0	1.0
chr7	141841401	141841509	1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,1,0,9,1,0,12,7,0,1	0,0,1,1,7,0,8,1,0,0,3,1,1,0	109	397	1.0,nan,nan,nan,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0	nan,nan,0.0,0.0,0.0,nan,0.0,0.0,nan,nan,0.0,0.0,0.0,nan	0.14285714285714285	1.0	1.0
chr12	55410283	55410331	1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	1529,1036,2175,1171,944,1923,382,16,2055,799,424,1161,101	1751,445,1255,862,362,724,431,472,2051,1626,265,1632,482,1830	49	337	0.004477929256690327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.00034445609666848673	1.0	1.0
chr12	56591167	56591224	2,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	18,49,24,107,122,43,195,6,27,121,149,72,7	19,45,79,77,158,54,146,5,30,16,15,27,4,131	58	346	0.3986175115207373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.03066288550159518	1.0	1.0
chr5	72203564	72203625	3,2,0,2,0,2,0,0,0,6,0,0,0	1,0,3,0,0,0,0,0,0,0,0,1,0,0	25,125,122,179,235,51,299,7,81,370,309,198,23	48,412,424,303,191,189,370,231,35,40,51,40,184,272	62	350	0.40384615384615385,0.08284023668639062,0.0,0.05933209018477703,0.0,0.18125323666494042,0.0,0.0,0.0,0.08386581469648557,0.0,0.0,0.0	0.10523150932050518,0.0,0.03840807666983681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12367491166077738,0.0,0.0	0.0433013020859226	1.0	1.0
chr5	136988472	136988544	2,0,0,2,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	140,2899,89,744,456,228,2067,59,134,341,1928,1180,80	159,552,392,560,1273,206,645,563,177,167,147,164,321,436	73	361	0.06598428075306162,0.0,0.0,0.01311916269942226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.006084880265575683	1.0	1.0
chr13	94448516	94448591	2,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,165,1,0,12,89,1,0	0,0,0,0,109,0,120,1,0,0,0,0,2,0	76	364	1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,nan	nan,nan,nan,nan,0.0,nan,0.0,0.0,nan,nan,nan,nan,0.0,nan	0.16666666666666666	0.24908355903513912	1.0
chr8	23087105	23087184	1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,1,0,0,2,0,0,2,2,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	80	368			0.0	1.0	1.0
chr17	32929073	32929137	1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	3,8,20,3,15,3,100,3,14,17,50,15,1	5,14,9,19,40,14,103,8,3,7,2,7,5,16	65	353	0.6441605839416058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.04955081414935429	1.0	1.0
chr17	35011899	35011965	1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	517,305,499,332,240,792,127,8,595,149,152,375,30	385,253,377,297,96,247,109,117,475,448,36,339,70,414	67	355	0.010144596216494328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0007803535551149483	1.0	1.0
chr17	35844571	35844678	1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	179,416,666,173,299,269,698,18,353,625,788,549,160	277,351,229,349,623,217,694,219,310,238,195,291,253,207	108	396	0.02007299270072993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.00154407636159461	1.0	1.0
chr17	35844571	35844747	1,0,0,0,0,2,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,2,0,0	267,658,1035,262,507,376,1089,44,559,939,1202,856,215	388,501,338,528,985,296,1063,316,500,367,300,467,379,310	177	465	0.009743525270304199,0.0,0.0,0.0,0.0,0.01378145283186627,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011125865843591765,0.0,0.0	0.0010149089970532617	1.0	1.0
chr17	35844571	35844906	1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	258,630,1062,250,467,362,1041,30,557,998,1138,891,249	416,465,383,505,922,308,1036,337,461,362,284,475,360,355	288	576	0.007692307692307665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0005917159763313589	1.0	1.0
chr17	35844571	35844771	3,0,0,1,0,0,0,0,0,0,0,0,0	0,4,1,0,0,0,1,0,0,0,0,0,0,0	255,656,981,258,499,391,1052,38,545,997,1193,825,223	388,452,355,533,987,269,1047,294,479,344,288,462,381,323	201	489	0.027825196312734835,0.0,0.0,0.009341509542094006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.021075769330230143,0.0068064138967762755,0.0,0.0,0.0,0.002318238707475273,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0007018043781282517	1.0	1.0
chr19	3575559	3575640	1,0,2,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,1,0,0,0,0,1,0	1297,1957,2328,1544,1410,1598,475,19,1605,403,540,1821,26	1332,1767,1543,1336,403,1199,477,101,1638,1802,171,1552,66,1412	82	370	0.0034668865484801525,0.0,0.003861487403201913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04276467868700884,0.0,0.0,0.0,0.0,0.063991698374265,0.0	-0.007061734431170389	1.0	1.0
chr19	5667112	5667148	1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,1,0,0	73,125,238,73,135,51,427,41,162,651,489,260,35	96,203,123,139,428,112,453,113,119,65,98,125,137,156	37	325	0.10740251156642433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06565656565656564,0.0,0.0	0.0035719769692010295	1.0	1.0
chr19	10863150	10863222	1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,4,0,1,0,2,0,0	0,1,0,0,1,0,1,0,0,0,0,2,0,0	73	361	1.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,nan	nan,0.0,nan,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,nan,nan	0.25	0.3733757988263917	1.0
chr19	55090921	55091135	2,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	314,419,740,658,567,449,125,5,615,181,221,672,79	482,588,636,661,114,451,144,487,374,285,137,359,447,598	215	503	0.01468270185066256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.00112943860389712	1.0	1.0
chr14	20721660	20721721	1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	356,595,528,518,532,439,162,5,529,202,162,446,6	498,258,480,383,127,342,134,33,350,435,45,349,33,530	62	350	0.015609669075015598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0012007437750011997	1.0	1.0
chr14	54962962	54963020	2,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,2,0,0,0,0	264,409,355,131,276,424,55,2,323,53,98,327,25	486,44,200,198,60,194,73,17,457,289,10,323,21,222	59	347	0.04265519360786729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03910960834037758,0.0,0.0,0.0,0.0	0.00048762528618260213	1.0	1.0
chr14	75036212	75036254	1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,1,3,2,0,0,5,0,0,6,8,1,18	1,0,0,2,6,0,7,8,0,0,16,0,15,0	43	331	0.8850267379679144,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0	0.0,nan,nan,0.0,0.0,nan,0.0,0.0,nan,nan,0.0,nan,0.0,nan	0.09833630421865716	0.27279623407114484	1.0
chr14	103685819	103685862	2,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	233,272,394,550,416,234,375,18,295,576,185,605,316	390,162,843,753,249,504,427,3231,209,155,698,83,3320,506	44	332	0.06082814217662147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.004679087859740113	1.0	1.0
chr12	89348450	89348567	0,2,2,0,0,0,0,1,0,1,1,2,1	0,1,0,0,0,0,1,1,1,1,0,0,0,0	1736,2118,3173,1948,1905,1491,105,6,2348,212,97,2175,425	1833,168,1510,2489,65,1285,119,530,1600,2248,497,1411,1159,3704	118	406	0.0,0.0032384659562249007,0.002164029145101831,0.0,0.0,0.0,0.0,0.36445242369838426,0.0,0.015970419321847173,0.034255821802227526,0.0031538634827663614,0.008030698631220856	0.0,0.02006920415224911,0.0,0.0,0.0,0.0,0.02810077519379839,0.006449972992723874,0.0021458093295138037,0.0015282116911958799,0.0,0.0,0.0,0.0	0.029010431070634987	1.0	1.0
chr15	44522729	44523028	0,1,0,0,0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,1,0,0,1,0,1,2,0,0,4	0,0,0,1,0,0,0,1,0,0,0,0,3,1	288	576	nan,1.0,0.0,0.0,nan,nan,0.0,nan,0.0,0.0,nan,nan,0.0	1.0,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,nan,0.0,0.0	-0.05714285714285716	1.0	1.0
