chr	start	end	cjc_1	cjc_2	ljc_1	ljc_2	adj_cjc_len	adj_ljc_len	pbsi1	pbsi2	delta_pbsi	P	FDR
chr15	82043408	82043896	2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	21,74,47,64,24,29,38,24,34,32,82,81,18,57,60,41,21,93,38,60,36,57,39,59,50,45,73,72,43,74,46,53,179,20,32,54	11,39,68,77,73,59,9,39,36,117,78,65,26,74,27,61,40,47,85,22,42,18,56,40,86,23,36,14,46,67,30,44,17,43,63,185,265	288	576	0.15999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.004444444444444442	1.0	1.0
chr1	93330468	93330754	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,1,3,1,1,6,1,0,0,0,0,0,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0	0,0,0,0,0,0,0,0,2,3,0,2,0,0,0,0,1,0,0,2,0,0,0,3,0,2,0,0,1,0,2,0,0,1,5,5,1	287	575	1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,nan	nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.5004351610095736,nan,nan,nan,nan,0.0,nan,nan,0.0,nan,nan,nan,0.0,nan,0.0,nan,nan,0.0,nan,0.0,nan,nan,0.0,0.0,0.0,0.0	0.03842806453772511	1.0	1.0
chr4	137521493	137521575	2,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,2,2,0,0,4,2,0,0,0,2,2,0,1,1,0,1,1,0,5,0	0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,1,6,0,0,0,2,1,0,2,0,1,0,0,0,0,0,2,2,0,0,0	25,100,121,123,33,114,127,72,76,84,169,194,87,109,93,104,59,181,83,97,79,50,74,57,66,93,109,89,75,109,114,123,467,89,75,110	21,71,104,111,89,70,21,81,121,200,199,114,112,91,79,93,56,73,179,67,81,86,69,114,177,65,90,30,54,62,29,62,58,64,144,443,548	83	371	0.26340078097266606,0.0,0.0,0.03506616257088846,0.11929260450160772,0.0,0.0,0.0,0.0555472376104208,0.0,0.0,0.0,0.09318096194901415,0.0,0.0,0.0,0.13158361411597796,0.04706628607675234,0.0,0.0,0.18455415993035684,0.15167620605069498,0.0,0.0,0.0,0.08769648977662226,0.07579936663602005,0.0,0.05624620982413586,0.03939265236780631,0.0,0.03506616257088846,0.009480731881835736,0.0,0.22957920792079212,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06879925822902189,0.04278629915811316,0.042992062112520935,0.0,0.0,0.0,0.0,0.0,0.07391910739191077,0.2686783343391672,0.0,0.0,0.0,0.09416243654822343,0.06083961954739259,0.0,0.0480787921985355,0.0,0.04731539344471358,0.0,0.0,0.0,0.0,0.0,0.13354931605471554,0.12256359431780639,0.0,0.0,0.0	0.01772420060485991	1.0	1.0
chrX	23364498	23364955	0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1	0,0,0,1,1,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0	288	576	nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0	nan,nan,nan,0.0,0.0,nan,nan,nan,nan,0.0,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan	0.16666666666666666	0.15576056068268274	1.0
chrX	49033476	49040515	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	52,37,42,32,46,112,113,58,30,74,86,44,103,33,76,32,109,77,80,32,66,60,33,75,83,71,40,88,76,43,37,62,147,102,116,64	10,83,74,67,73,47,23,40,45,131,48,29,94,95,112,105,38,71,82,60,60,129,64,119,50,63,74,15,43,66,45,68,115,40,31,130,225	288	576	0.0,0.05128205128205132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0014245014245014257	1.0	1.0
chrX	71556009	71556711	0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	137,95,99,109,123,291,322,149,159,109,89,75,324,100,100,109,87,102,127,123,115,148,129,58,70,88,74,69,104,99,119,74,362,298,127,101	27,117,103,87,87,142,24,111,75,213,71,136,324,95,142,95,60,66,89,155,93,110,103,312,100,148,116,33,85,161,136,94,94,70,84,372,370	288	576	0.0,0.04040404040404044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.00112233445566779	1.0	1.0
chrX	74019044	74019899	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	4,0,0,1,6,0,1,3,2,0,2,0,0,1,1,3,0,1,0,3,0,11,4,1,1,1,0,1,2,0,2,0,5,0,0,0	3,1,0,2,2,11,1,6,1,40,0,1,0,1,0,1,7,4,1,2,3,0,0,0,0,1,0,2,9,13,6,0,0,8,4,9,5	288	576	0.0,1.0,nan,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,nan,nan,0.0,0.0,0.0,nan,0.0,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan,0.0,nan,nan,nan	0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,nan,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0	0.045454545454545456	1.0	1.0
chrX	74232085	74233148	0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2,0,4,5,6,7,11,7,0,1,2,0,14,5,0,7,0,0,0,2,3,2,0,0,0,0,0,1,2,1,1,0,7,21,0,1	3,1,0,0,0,3,2,1,6,16,0,3,20,0,1,0,2,0,0,11,1,0,0,14,0,3,0,2,3,4,4,0,0,0,4,13,2	288	576	0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan,0.0	0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan,0.0,nan,nan,0.0,0.0,nan,nan,0.0,nan,0.0,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0	0.043478260869565216	1.0	1.0
chrX	74255877	74256297	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	23,1,13,11,37,52,58,23,24,11,2,0,58,13,3,16,1,1,1,10,14,23,26,1,0,3,1,1,4,0,10,0,23,50,2,4	1,1,2,3,1,26,0,16,13,113,1,7,59,0,0,2,20,1,2,22,2,0,0,47,1,24,14,1,14,22,35,2,0,22,8,43,3	288	576	0.0,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,nan,0.0,nan,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0	0.020833333333333336	1.0	1.0
chrX	74255877	74256136	0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	20,1,10,6,33,40,45,21,21,3,1,1,44,11,3,13,1,0,1,11,11,18,17,1,0,0,1,0,1,0,9,0,23,38,1,3	4,0,1,2,1,22,3,11,14,90,0,2,41,0,0,1,20,1,1,13,2,0,0,49,1,19,9,5,13,20,33,0,0,22,8,34,2	260	548	0.0,0.808259587020649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.0,nan,0.0,nan,0.0,0.0,0.0,0.0	0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0	0.026941986234021633	1.0	1.0
chrX	74271025	74271555	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	11,1,6,10,8,23,30,19,5,5,0,1,32,4,2,11,1,2,0,8,9,15,4,0,5,1,2,0,2,0,6,1,15,33,0,0	1,0,0,0,0,10,0,6,10,46,0,9,27,1,0,0,6,1,0,20,0,1,1,28,0,19,2,3,6,15,12,0,0,7,9,24,0	288	576	0.0,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,nan,0.0,0.0,0.0,0.0,nan,nan	0.0,nan,nan,nan,nan,0.0,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,nan,0.0,0.0,nan,0.0,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,nan	0.02298850574712644	1.0	1.0
