chr	start	end	cjc_1	cjc_2	ljc_1	ljc_2	adj_cjc_len	adj_ljc_len	pbsi1	pbsi2	delta_pbsi	P	FDR
chr19	6374609	6374670	0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	66,102,58,36,96,91,15,0,38,26,13,161,5,47,87,56,47,7,52,9,10,33,71,11,35,7,127,114,6,6,16,3,2,15,14,7,11,7,9,6,7,2,15,6,8,8,5,7,7,9	10,13,6,15,8,9,3,3,9,6,11,6,1,9,15,11,5,5,7,6,1,7,16,16,12,1,7,6,8,9,1,11,19,4,7,5,0,7,10,4,3,6,30,1,5,16,6,7,1,4	62	350	0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.3027681660899654,0.0,0.0,0.0,0.0,0.0,0.0915750915750917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.008047821585001164	1.0	1.0
chr2	73573200	73573259	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	166,130,219,112,173,202,88,0,249,31,116,182,18,321,78,136,144,29,135,55,42,167,187,38,148,38,139,116,50,111,201,42,59,24,105,12,48,49,29,25,55,55,31,106,117,81,53,37,41,29	35,8,14,21,30,22,49,14,22,40,17,9,48,17,13,18,43,33,87,21,36,15,39,20,29,52,16,33,22,108,44,24,21,49,55,59,10,25,30,52,24,16,106,87,67,133,27,41,14,19	60	348	0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.15760869565217384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.003216503992901507	1.0	1.0
chr7	19698345	19698403	0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0	225,271,249,351,275,224,68,6,247,194,65,272,390,497,34,345,215,62,154,68,166,237,281,134,210,174,407,198,27,76,104,21,6,45,106,20,114,43,35,34,30,11,45,93,38,106,42,100,24,96	39,40,31,16,43,30,31,5,93,17,26,15,26,19,15,36,20,19,108,20,10,14,75,35,39,11,25,28,14,93,23,65,64,34,45,37,10,19,33,74,32,55,159,1,3,100,45,46,4,28	59	347	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057166392092257046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03421753278769357,0.0,0.0,0.08069767441860465,0.0,0.0,0.0,0.05607627666451198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1427004797806718,0.0,0.10524719441916897,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20722603762317104,0.0,0.0,0.0,0.0,0.0,0.0,0.09660356347438759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0034455189813069886	1.0	1.0
chr7	19698342	19698403	0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	221,271,249,338,274,221,70,7,238,185,65,264,376,493,34,343,208,62,149,69,164,229,281,134,208,176,399,193,27,76,104,20,6,44,108,20,116,42,35,34,30,11,44,93,37,106,42,100,24,95	37,42,31,16,42,30,31,5,96,17,24,15,26,19,15,38,23,19,105,20,10,14,75,33,39,11,26,29,13,95,22,68,64,34,45,37,10,19,35,75,32,53,158,1,3,102,45,46,4,29	62	350	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05751848808545601,0.0,0.0,0.0,0.0,0.14239218877135884,0.0,0.0,0.0,0.0,0.0756266205704409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.26697177726926014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0001713104031599126	1.0	1.0
chr7	44112748	44113024	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	154,335,435,929,481,154,1723,144,250,1794,1421,501,14,193,490,385,351,1741,263,2157,8,149,110,28,116,13,427,200,5,44,293,103,2,182,44,5,52,44,1,2,1,5,235,41,7,44,42,52,86,40	108,7,2,6,198,270,94,0,40,89,5,4,5,8,4,3,89,5,54,5,3,2,56,139,219,3,6,101,6,51,3,63,58,72,71,67,1,4,226,53,0,132,645,9,5,333,206,46,0,256	277	565	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011356715436892095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0	2.271343087378419e-05	1.0	1.0
chr7	100430827	100431043	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	683,660,854,671,731,818,137,4,894,134,139,1003,11,1077,1513,983,796,118,600,137,129,778,761,63,652,91,988,889,31,184,164,36,13,50,111,31,96,63,25,19,38,22,73,166,75,99,64,98,22,145	65,26,16,30,49,66,47,13,126,48,37,25,18,40,45,20,43,16,97,23,31,30,85,73,67,20,42,36,26,184,11,75,96,55,59,54,5,29,74,95,18,51,258,16,17,132,59,63,19,59	217	505	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01707061488016759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.00034141229760335177	1.0	1.0
chr7	141088402	141088453	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,0,1,1,0,0,0,0,0,2,0,0,5,0,1,2,0,1,0,0,5,2,1,12,0,23,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,11,0,0,0,0,0	0,1,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0	52	340	0.0,nan,0.0,0.0,nan,nan,nan,nan,nan,0.7657657657657657,nan,nan,0.0,nan,0.0,0.0,nan,0.0,1.0,nan,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,nan,nan,nan,nan,nan	nan,0.0,0.0,nan,nan,nan,nan,0.0,nan,nan,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan	0.08828828828828829	0.5971574370597126	1.0
chr6	117907209	117907429	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	12,18,15,21,35,32,9,1,15,9,13,47,0,4,39,57,42,7,41,7,3,9,2,4,5,2,26,12,18,3,60,23,8,9,2,31,3,6,12,5,16,26,16,1,60,2,7,2,19,3	20,12,7,39,8,25,19,10,3,12,28,21,8,37,31,11,10,22,8,20,20,34,9,15,14,12,32,17,35,3,11,7,8,20,15,15,8,22,17,4,10,17,83,10,8,45,14,4,10,26	221	509	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20376301040832667,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.004158428783843401	1.0	1.0
chr6	125031023	125032637	0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,1,0	0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0	288	576	nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,nan,nan,nan,0.0,nan	nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan	0.125	1.0	1.0
chr6	126644174	126644255	0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1230,1459,1258,1094,1176,1522,137,7,1367,178,102,1171,71,1637,648,1173,777,152,705,128,183,1291,1214,137,1135,158,1226,1419,42,112,216,52,40,64,216,81,256,141,97,98,34,30,101,126,103,205,138,278,52,236	94,56,72,68,65,82,43,8,258,34,82,95,24,78,89,65,47,30,215,81,19,71,204,91,102,28,78,57,73,89,26,217,207,57,62,69,7,88,86,258,85,94,437,45,30,131,68,144,10,90	82	370	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02472270479754113,0.04236317838332959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0013417176636174144	1.0	1.0
chr17	35844571	35844726	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	228,540,890,217,407,323,939,34,480,805,1004,731,193,343,445,288,445,813,275,914,288,411,292,261,401,343,273,280,4,4,22,3,3,15,4,6,2,0,3,1,5,2,4,4,7,1,1,2,2,0	8,0,0,3,14,10,4,2,1,10,3,1,5,1,4,0,5,2,10,0,3,5,3,11,9,4,2,2,3,4,4,2,2,5,11,10,3,1,8,0,1,5,34,3,2,22,20,2,1,8	156	444	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035231384498191076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan	0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	7.339871770456474e-05	1.0	1.0
chr17	35844571	35844936	0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	266,640,1035,250,443,358,957,31,523,990,1168,818,228,425,479,364,527,876,300,995,336,440,365,286,451,356,367,305,0,9,33,5,0,19,7,4,2,5,0,0,3,3,14,7,12,3,5,5,1,4	7,0,0,7,24,15,6,2,4,9,12,0,0,5,4,1,12,3,10,0,6,8,17,8,13,1,7,3,6,7,0,6,12,9,11,17,3,7,12,7,0,12,59,0,0,12,6,8,1,24	288	576	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004024144869215318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0	8.748141020033301e-05	1.0	1.0
chr4	139061936	139062073	0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	106,78,67,138,60,116,96,4,92,102,132,83,28,136,13,85,94,67,72,85,27,109,87,29,59,29,74,119,50,54,137,29,68,25,62,20,34,77,58,55,60,26,34,43,92,51,59,44,31,31	29,22,46,36,24,21,32,10,32,36,17,33,53,22,22,29,34,38,45,40,32,17,32,32,40,47,34,23,19,43,40,39,38,35,40,32,13,29,26,37,42,40,108,40,63,108,27,62,9,21	138	426	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05707395498392276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.001141479099678455	1.0	1.0
chr16	15700738	15700944	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0	0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0	69,234,213,233,263,92,43,4,130,38,62,473,4,113,265,406,352,35,297,41,27,125,53,9,85,11,419,173,0,5,198,36,0,14,9,1,8,3,0,2,1,1,29,5,1,11,5,7,22,5	23,0,0,1,15,31,17,0,6,19,0,1,0,0,0,0,16,0,8,0,1,1,7,24,29,0,0,36,0,4,0,8,6,36,37,27,0,1,31,8,0,22,221,0,0,78,17,6,0,40	207	495	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05920344456404725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.1458885941644562,0.0,0.0,0.2301255230125523,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25462962962962965,0.0,0.0	0.0,nan,nan,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan,0.7051282051282051,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.0,nan,0.0,0.0,0.0,0.0,0.15047879616963056,nan,0.0,0.0,0.0,nan,0.0,0.0,nan,nan,0.0,0.0,0.0,nan,0.0	-0.012922626031919715	1.0	1.0
chr16	18784745	18784805	0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,1,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0	621,840,848,605,524,858,300,8,748,379,267,502,79,718,484,699,577,334,522,289,67,869,519,108,678,45,463,878,15,18,46,5,3,40,25,7,47,40,34,32,17,8,60,13,24,37,30,43,12,39	21,8,14,14,28,20,30,1,32,34,8,6,4,18,13,10,22,5,25,10,10,6,38,28,36,7,15,10,11,14,4,37,36,23,19,14,3,9,44,45,18,37,108,5,2,91,26,31,4,27	61	349	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029306797665533013,0.0,0.022286079182630925,0.06753095975232193,0.0,0.0,0.0,0.0,0.016841190947256668,0.0,0.0,0.0,0.01936880272310193,0.0,0.0,0.0,0.11279896574014214,0.012206211527700073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29010806317539484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5597433841218925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	-0.011390248795172014	1.0	1.0
chr16	21504488	21506001	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	3,1,4,0,4,3,0,4,5,15,4,6,59,2,2,0,0,3,1,2,8,2,0,20,5,17,1,7,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,1,0	0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0	288	576	0.0,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,0.11764705882352933,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,nan,0.0,nan	nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan	0.003921568627450978	1.0	1.0
