chr	start	end	len
chr15	83137887	83138131	245
chr1	40465782	40465848	67
chr1	45331205	45331318	114
chr1	151796908	151797009	102
chr17	32225487	32225575	89
chr19	7682618	7682758	141
chr19	37315328	37315404	77
chr19	43966118	43966174	57
chr19	44069602	44069690	89
chr19	53383472	53383556	85
chr19	53943143	53943465	323
chr19	56377945	56378054	110
chr11	6398340	6398539	200
chr11	6403365	6403513	149
chr11	70435573	70435692	120
chr11	118482032	118482089	58
chr6	83151077	83151169	93
chr6	130052878	130052964	87
chr17	7932246	7932412	167
chr18	12413858	12414441	584
chr11	65021821	65021940	120
chr11	65855082	65855186	105
chrX	102127137	102127191	55
chr1	150694764	150694836	73
chr1	160997741	160997860	120
chr1	173865345	173865398	54
chr5	150449600	150449643	44
chr13	55412373	55412445	73
chr15	68184206	68184420	215
chr7	4759133	4759213	81
chr7	5067648	5067718	71
chr7	24710222	24710359	138
chr7	102465814	102465891	78
chr12	69258628	69258768	141
chr12	69817967	69818021	55
chr11	65021835	65021940	106
chr11	67283866	67284240	375
chr11	69652308	69652367	60
chr11	75571881	75572038	158
chr11	116863947	116864047	101
chr2	26940046	26940127	82
chr17	28859072	28860544	1473
chr1	39333952	39334050	99
chr1	75521850	75521927	78
chr1	193181215	193181305	91
chr3	122924657	122924715	59
chr5	116189439	116190059	621
chrX	150987795	150987838	44
chr19	12613562	12614245	684
chr5	34907247	34907297	51
chr13	73691582	73691680	99
chr11	6403365	6403515	151
chr11	65855072	65855186	115
chr11	65855070	65855186	117
chr11	102398463	102398573	111
chr2	167646910	167646967	58
chr2	173112139	173112243	105
chr12	55716123	55716961	839
chr6	47920750	47925274	4525
chr1	156669209	156669370	162
chr17	7236128	7236167	40
chr17	35844571	35844792	222
chr17	46704782	46704832	51
chr14	74736035	74737220	1186
chr2	26391967	26392036	70
chr12	8790867	8790917	51
chr5	112715381	112715518	138
chr15	44528328	44528460	133
chr15	74544346	74544477	132
chr9	95476032	95476106	75
chr7	19698344	19698403	60
chr1	160997741	160997824	84
chr10	42318486	42318591	106
chr19	4394368	4394791	424
chr19	56377943	56378054	112
chr19	58300167	58300241	75
chr13	19675539	19675639	101
chr3	69027899	69028294	396
chr3	88058087	88058129	43
chr3	88100717	88100968	252
chr7	99479734	99479875	142
chr12	56734145	56738469	4325
chr1	156673457	156673529	73
chr15	44526880	44526969	90
chr15	70048366	70048479	114
chrX	48482641	48482721	81
chr4	139388466	139388534	69
chr4	145138484	145138563	80
chr11	3358897	3358994	98
chr11	59202660	59202769	110
chr11	61799767	61799901	135
chr11	61799804	61799901	98
chr11	65855039	65855186	148
chr11	65855085	65855186	102
chr11	78494607	78496988	2382
chr16	15700738	15700935	198
chr14	21092442	21093079	638
chr8	22565699	22565826	128
chr9	95942737	95942855	119
chr9	106861053	106861463	411
chr2	165682883	165683136	254
chr8	22090296	22090479	184
chr8	23135835	23135992	158
chr8	24914268	24914318	51
chr11	70435573	70435725	153
chr9	121766583	121766673	91
chr19	4838996	4839196	201
chr19	6374609	6374670	62
chr2	73573200	73573259	60
chr7	19698345	19698403	59
chr7	19698342	19698403	62
chr7	44112748	44113024	277
chr7	100430827	100431043	217
chr7	141088402	141088453	52
chr6	117907209	117907429	221
chr6	125031023	125032637	1615
chr6	126644174	126644255	82
chr17	35844571	35844726	156
chr17	35844571	35844936	366
chr4	139061936	139062073	138
chr16	15700738	15700944	207
chr16	18784745	18784805	61
chr16	21504488	21506001	1514
chr12	55716130	55716961	832
chr12	75938802	75939597	796
chr12	79295381	79295476	96
chr14	33068643	33068823	181
chr16	21976170	21976232	63
chr4	103149206	103149295	90
chr4	139410530	139410587	58
chr4	150611017	150611096	80
chr9	97482881	97482938	58
chr9	119321934	119322004	71
chr9	124353430	124353464	35
chr6	38149521	38149555	35
chr6	38391565	38391659	95
chr6	117907209	117907488	280
chr6	124494044	124494095	52
chr3	37000122	37000225	104
chr3	85746015	85746088	74
chr3	123350871	123351012	142
chr1	71564968	71565079	112
chr1	75417741	75417783	43
chr1	179043666	179043736	71
chr7	43452958	43453005	48
chr7	130519811	130519876	66
chr7	130536909	130536982	74
chr7	130536916	130536982	67
chr5	32362602	32362676	75
chr5	76640996	76641085	90
chr5	103550315	103550411	97
chr11	73110604	73110722	119
chr11	114710186	114710249	64
chr2	73853721	73853794	74
chr2	158086487	158086555	69
chr13	66998417	66998549	133
chr13	95976481	95976599	119
chrX	74152231	74152291	61
chrX	102127137	102127288	152
chr18	36796111	36796187	77
chr12	55716116	55716961	846
chr12	70292109	70292265	157
chr19	3575563	3575640	78
chr19	10919961	10920403	443
chr6	138416334	138416414	81
chr16	4668632	4668743	112
chr7	19698336	19698403	68
chr4	75950553	75950650	98
chr3	76075737	76075865	129
chr17	7251647	7251686	40
chr11	46277850	46278058	209
chr11	59132371	59132460	90
chr2	37645327	37645470	144
chr2	178430839	178433432	2594
chr16	18418398	18424303	5906
chr8	104497814	104497966	153
chr5	31526249	31526614	366
chr17	7352578	7352621	44
chr7	80743712	80743792	81
chr7	82285131	82285173	43
chr1	156294390	156294434	45
chr1	180973203	180973294	92
chr11	65855083	65855186	104
chr11	70435573	70435846	274
chr11	75571881	75571970	90
chr11	118482032	118482489	458
chr6	30744395	30744458	64
chr6	30895469	30895541	73
chr5	76637072	76637143	72
chr17	32929032	32929137	106
chr11	65855026	65855186	161
chr11	65855033	65855186	154
chr11	65855081	65855186	106
chr11	69641354	69641391	38
chr7	45103458	45103639	182
chr7	100093311	100093371	61
chr3	126998092	126998323	232
chrX	48482639	48482721	83
chr12	31282760	31282868	109
chr12	110545902	110545982	81
chr4	99057759	99061178	3420
chr2	69880664	69880766	103
chr6	43523767	43523883	117
chrX	74197178	74197362	185
chr17	46721879	46721919	41
chr17	46721879	46721922	44
chr1	43990663	43990704	42
chr14	55633236	55633333	98
chr14	74736035	74737211	1177
chr11	65855136	65855186	51
chr13	112882992	112883099	108
chr15	85580908	85581379	472
chr7	44468160	44468276	117
chr7	102465814	102465933	120
chr7	128460986	128461124	139
chr9	121766583	121766693	111
chr15	75896757	75896819	63
chr1	58480896	58480959	64
chr14	59384725	59384783	59
chr14	69714723	69714778	56
chr7	92040867	92042079	1213
chr4	44762475	44764618	2144
chr4	99061015	99061178	164
chr4	145138523	145138563	41
chr4	150166483	150166635	153
chr4	150908251	150908317	67
chr17	32381031	32381083	53
chr17	46935341	46935433	93
chr11	59807742	59807799	58
chr11	60709728	60709944	217
chr11	65855010	65855186	177
chr11	69665926	69666019	94
chr12	69258628	69258861	234
chr6	17656445	17656550	106
chr6	30687309	30693636	6328
chr6	143195316	143195412	97
chr19	11480400	11480451	52
chr19	39539031	39539082	52
chr19	42250092	42250140	49
chr19	43849625	43849775	151
chr19	48645848	48645973	126
chr2	24824894	24824944	51
chr2	37645324	37645470	147
chr2	69993813	69993865	53
chr2	113699920	113700060	141
chr2	148690234	148690303	70
chr2	165682883	165683073	191
chr8	91070407	91070448	42
chrX	150987206	150987838	633
chr10	97674836	97674879	44
chr11	84905644	84905905	262
chr11	101991513	101991607	95
chr11	117702401	117702438	38
chr14	31168323	31168411	89
chr19	4197417	4197476	60
chr19	34672363	34672435	73
chr19	44132002	44132085	84
chr4	26340348	26340416	69
chr4	41635148	41635204	57
chr4	139410530	139410591	62
chr9	8946951	8947006	56
chr9	110108393	110109025	633
chr16	14188405	14188483	79
chr7	19698341	19698403	63
chr7	26371935	26371988	54
chr7	45614996	45615068	73
chr7	122595074	122595161	88
chr7	130536917	130536982	66
chr7	130536914	130536982	69
chr10	77593018	77593062	45
chr10	82670153	82670277	125
chr2	25467185	25467286	102
chr2	76807892	76807990	99
chr2	76857107	76857154	48
chr2	158058828	158071688	12861
chr2	178395794	178395837	44
chr2	178395792	178395837	46
chr5	24550465	24550599	135
chr5	45498594	45498691	98
chr5	65659494	65659606	113
chr5	65659543	65659606	64
chr5	67747217	67747277	61
chr5	138611778	138611823	46
chr15	51789908	51789992	85
chr15	71981769	71981839	71
chr18	11882786	11882848	63
chr1	63585456	63585536	81
chr1	182301199	182301264	66
chr11	118398056	118398120	65
chr12	31282760	31282830	71
chr5	36031082	36031151	70
chr5	136754840	136754914	75
chr6	43523779	43523883	105
chr1	150164754	150164813	60
chr14	24138197	24138236	40
chr7	101244217	101244296	80
chrX	102127137	102127190	54
chr19	40736885	40738489	1605
chr19	44088596	44088674	79
chr19	48796468	48796504	37
chr19	55091093	55091135	43
chr17	7236128	7236192	65
chr17	7932246	7932387	142
chr15	44561890	44561966	77
chr11	49827246	49827330	85
chr11	49827246	49827298	53
chr11	57771468	57771585	118
chr11	106000036	106000074	39
chr9	69428575	69428736	162
chr9	73038581	73038622	42
chr9	105395666	105395799	134
chr1	180973203	180973295	93
chr13	66998446	66998549	104
chr19	4197255	4197338	84
chr19	17642379	17642492	114
chr19	40609040	40609201	162
chr19	45640237	45640425	189
chr19	57753304	57753471	168
chr6	97118793	97118880	88
chr17	34052518	34052562	45
chr5	21739010	21739092	83
chr12	111184337	111184402	66
chr2	26388353	26388491	139
chr2	32418345	32419047	703
chr2	76885053	76885124	72
chr2	91560807	91560911	105
chr4	65323887	65324023	137
chr4	122885726	122885813	88
chrX	12136326	12136400	75
chrX	37839369	37839418	50
chrX	102127137	102127360	224
chrX	103609196	103609303	108
chr4	83460994	83461185	192
chr11	3370851	3370968	118
chr11	65855137	65855186	50
chr11	103078196	103078238	43
chr11	110230431	110230488	58
chr7	100706894	100707304	411
chr17	7236128	7236173	46
chrX	101102295	101102367	73
chr19	38931076	38931110	35
chr19	46044757	46044829	73
chr17	7932246	7932314	69
chr11	34083470	34084083	614
chr9	107331397	107331444	48
chr6	18235348	18235397	50
chr5	138187721	138187862	142
chr5	138766708	138766807	100
chr3	127573326	127573445	120
chr2	27027038	27027140	103
chr2	27241151	27241385	235
chr2	69465344	69465588	245
chr10	14133895	14133940	46
chr10	97714856	97714976	121
chr12	55719151	55719583	433
chr12	69258628	69258675	48
chr13	110903528	110903614	87
chr7	102190469	102191902	1434
chr18	36796645	36796743	99
chr12	56511507	56511548	42
chr11	59132407	59132460	54
chr11	69432795	69432853	59
chr17	28769529	28769720	192
chr17	66690268	66690424	157
chr4	137521493	137521572	80
chrX	102127137	102127329	193
chr2	135938342	135938422	81
chr5	76637072	76637163	92
chr10	80154473	80154542	70
chr11	43444831	43444937	107
chr11	65021777	65021940	164
chr5	72203564	72205129	1566
chr19	23932717	23932800	84
chr1	38036274	38036344	71
chr1	40465811	40465864	54
chr1	165663509	165663565	57
chr15	48151476	48151560	85
chr9	105516630	105521039	4410
chr2	27027054	27027140	87
chr2	41670271	41670900	630
chr2	65526415	65526496	82
chr2	76807914	76807990	77
chr2	91562844	91562906	63
chr2	178395793	178395837	45
chr16	56770144	56770212	69
chr14	70563683	70564849	1167
chr17	6947912	6947977	66
chr17	43568787	43568875	89
chr10	21986208	21986814	607
chr10	88174934	88175038	105
chr6	42629274	42629400	127
chr1	17696875	17696995	121
chr11	120450508	120450590	83
chr4	144779626	144779715	90
chr9	95935577	95935651	75
chr3	116297080	116297130	51
chr3	127687460	127687581	122
chr12	86140096	86140176	81
chr5	74628042	74628119	78
chr5	143388986	143389081	96
chr7	44227681	44227777	97
chr7	45722655	45722721	67
chr19	4197429	4197476	48
chr14	54478102	54478138	37
chr14	64782396	64782545	150
chr17	7927080	7927129	50
chr17	8173009	8173138	130
chr17	28329048	28329095	48
chr17	32929776	32929854	79
chr17	35844571	35844855	285
chr9	114597718	114597794	77
chrX	78126136	78126203	68
chrX	78129324	78129380	57
chr19	37599694	37601048	1355
chr19	44107204	44107287	84
chr19	44107203	44107287	85
chr19	48645848	48646028	181
chr19	58266958	58266998	41
chr5	87666257	87666338	82
chr5	135345918	135346089	172
chr5	141975715	141975764	50
chr5	146751596	146751694	99
chr5	147615015	147615128	114
chr6	35287140	35287346	207
chr2	25234129	25234179	51
chr2	121337772	121337821	50
chr7	44112748	44112846	99
chr7	139525782	139525894	113
chr3	127687520	127687581	62
chr1	93319878	93319959	82
chr1	153752060	153752177	118
chr1	184795234	184795305	72
chr11	62882020	62882992	973
chr11	67283866	67284239	374
chr11	70435573	70435696	124
chr11	72690035	72690114	80
chr13	41056554	41056602	49
chr13	98887798	98888465	668
chr13	112883013	112883099	87
chr2	27241163	27241385	223
chr2	117903242	117903292	51
chr2	152415723	152418231	2509
chr9	107331409	107331444	36
chr9	110251148	110253345	2198
chr3	88163088	88164144	1057
chr6	30744395	30744469	75
chr18	35249813	35249868	56
chr19	10256733	10256817	85
chr19	38652112	38653361	1250
chr14	24150062	24150138	77
chr5	145573309	145573462	154
chr8	94650348	94651406	1059
chr7	26371941	26371988	48
chr7	127579974	127582008	2035
chr10	78039766	78039942	177
chr2	27241995	27242701	707
chr2	127056305	127056333	29
chr2	135741888	135741983	96
chr19	3979617	3979817	201
chr19	48796468	48796506	39
chr14	49768374	49768408	35
chr7	19698335	19698403	69
chr7	44882867	44882967	101
chr7	49770948	49771030	83
chr15	74544346	74544438	93
chr11	61803489	61803641	153
chr5	31526539	31526614	76
chr17	6445175	6445311	137
chr17	6445238	6445311	74
chr17	7236128	7236304	177
chr17	47619063	47619158	96
chr11	65855031	65855186	156
chr11	65855032	65855186	155
chr11	65855080	65855186	107
chr12	54233753	54240435	6683
chr12	111448640	111449177	538
chr19	48645848	48645910	63
chr15	82043408	82043896	489
chr1	93330468	93330754	287
chrX	23364498	23364955	458
chrX	49033476	49040515	7040
chrX	71556009	71556711	703
chrX	74019044	74019899	856
chrX	74232085	74233148	1064
chrX	74255877	74256297	421
chrX	74255877	74256136	260
chrX	74271025	74271555	531
chrX	74741280	74741326	47
chrX	101412006	101412137	132
chrX	101640323	101640785	463
chrX	103609218	103609303	86
chrX	111399638	111400207	570
chrX	138966477	138966813	337
chr8	64691348	64692642	1295
chr8	70377257	70377671	415
chr8	72434171	72434789	619
chr8	79665144	79665627	484
chr8	79665144	79665839	696
chr8	79665144	79665559	416
chr8	79665144	79665813	670
chr8	79665144	79665425	282
chr8	79665144	79665704	561
chr8	79665144	79665750	607
chr8	80663517	80663551	35
chr8	80775782	80776160	379
chr8	84536459	84537114	656
chr8	105338537	105338853	317
chr8	105346726	105347652	927
chr8	105676179	105677119	941
chr8	109624487	109625077	591
chr8	117734707	117736405	1699
chr8	124529057	124529708	652
chr6	3288701	3289003	303
chr6	30643629	30644569	941
chr6	35234817	35235146	330
chr6	38180545	38181313	769
chr6	71920753	71922569	1817
chr6	71926812	71927245	434
chr6	73121443	73121779	337
chr6	88844752	88845065	314
chr6	107530244	107530872	629
chr6	145808563	145808915	353
chr6	147535792	147536506	715
chr7	4061619	4063068	1450
chr7	6415245	6415924	680
chr7	7246408	7247131	724
chr7	15951323	15952065	743
chr7	16201409	16201929	521
chr7	23355278	23357155	1878
chr7	28094200	28094572	373
chr7	28142785	28143386	602
chr7	33650292	33653203	2912
chr7	43950737	43951213	477
chr7	44393568	44394063	496
chr7	55926527	55927023	497
chr7	67267489	67268066	578
chr7	70386549	70386828	280
chr7	73440538	73441585	1048
chr7	78593897	78594398	502
chr7	78711333	78712218	886
chr7	78711756	78712218	463
chr7	80743309	80743792	484
chr7	82273995	82274453	459
chr7	92567742	92568364	623
chr7	98265834	98266136	303
chr7	100430827	100431055	229
chr7	102223491	102224541	1051
chr7	102465814	102466267	454
chr7	112023747	112024293	547
chr7	112856065	112856591	527
chr7	120283242	120283666	425
chr7	120375157	120375869	713
chr7	120465803	120466225	423
chr7	120503508	120504330	823
chr7	130515797	130516104	308
chr7	130542325	130542679	355
chr7	133678435	133678545	111
chr7	135674383	135675254	872
chr7	137234903	137235857	955
chr7	139677994	139678489	496
chr7	141266056	141266389	334
chr3	27468197	27468865	669
chr3	28625223	28625381	159
chr3	28650198	28650740	543
chr3	28708678	28710992	2315
chr3	37011005	37011111	107
chr3	51395300	51396426	1127
chr3	79085321	79085744	424
chr3	79668729	79670846	2118
chr3	84976385	84977077	693
chr3	89232116	89232504	389
chr3	89244111	89244149	39
chr3	89358215	89358561	347
chr3	116010697	116011405	709
chr3	116593825	116594638	814
chr3	117672035	117672346	312
chr3	117831104	117832839	1736
chr3	117832325	117832839	515
chr3	122426755	122427123	369
chr3	124405213	124406330	1118
chr3	124413843	124414311	469
chr3	135228916	135229818	903
chr3	136868727	136869188	462
chr3	136888025	136888677	653
chr15	37002867	37003685	819
chr15	37005862	37007127	1266
chr15	41826053	41826688	636
chr15	44491137	44492584	1448
chr15	44570050	44570883	834
chr15	73567167	73567424	258
chr15	74571516	74571851	336
chr15	74798828	74799418	591
chr15	78293367	78294341	975
chr15	78293549	78294341	793
chr15	81889435	81890398	964
chr15	82197787	82198195	409
chr15	83000979	83001414	436
chr15	85126746	85127467	722
chr15	89190471	89190873	403
chr15	90225855	90227037	1183
chr15	91872578	91873056	479
chr15	92399834	92400373	540
chr15	98721177	98721738	562
chr15	98727752	98727956	205
chr11	4069351	4069465	115
chr11	6622103	6623815	1713
chr11	11942880	11943881	1002
chr11	16992355	16992887	533
chr11	21268864	21269482	619
chr11	24560522	24561475	954
chr11	30149639	30149929	291
chr11	34083470	34083890	421
chr11	43433820	43434522	703
chr11	45887551	45887756	206
chr11	59809045	59809659	615
chr11	60932272	60932625	354
chr11	65854816	65855186	371
chr11	66146379	66147192	814
chr11	70435573	70435883	311
chr11	74866254	74866568	315
chr11	76133815	76134408	594
chr11	77021491	77021933	443
chr11	77021491	77021937	447
chr11	79412759	79413518	760
chr11	83774509	83775350	842
chr11	84880512	84881259	748
chr11	84888168	84888355	188
chr11	99492285	99492668	384
chr11	106097113	106097981	869
chr11	106761297	106761572	276
chr11	117077203	117078174	972
chr11	118502433	118502841	409
chr11	120432557	120433047	491
chr1	10116085	10116404	320
chr1	33479752	33480457	706
chr1	36173788	36174078	291
chr1	43960968	43967002	6035
chr1	43960968	43966618	5651
chr1	51783029	51784436	1408
chr1	58102651	58103143	493
chr1	58153573	58154244	672
chr1	69858611	69859086	476
chr1	75415743	75416576	834
chr1	75423948	75424307	360
chr1	75492144	75492505	362
chr1	119616656	119617363	708
chr1	120487780	120488146	367
chr1	150819101	150819358	258
chr1	151448498	151448539	42
chr1	167326021	167326496	476
chr1	173761031	173761598	568
chr1	173761278	173761598	321
chr1	173933355	173933782	428
chr1	174330637	174330702	66
chr1	183314083	183314412	330
chr4	5729658	5730231	574
chr4	75949960	75950650	691
chr4	82352871	82353522	652
chr4	82948769	82950243	1475
chr4	86228055	86228728	674
chr4	98382578	98383067	490
chr4	101187574	101189078	1505
chr4	104479276	104480154	879
chr4	104479276	104480994	1719
chr4	113041683	113046739	5057
chr4	113485919	113486582	664
chr4	116325349	116326072	724
chr4	118158438	118160133	1696
chr4	118167635	118168384	750
chr4	133190260	133191294	1035
chr4	140537456	140542633	5178
chr4	140552056	140552527	472
chr4	141071598	141072528	931
chr4	141072146	141072528	383
chr14	21092442	21093036	595
chr14	21092442	21092647	206
chr14	31150082	31150147	66
chr14	32418017	32418785	769
chr14	32448182	32448928	747
chr14	33009270	33009457	188
chr14	33364515	33365407	893
chr14	47266511	47266980	470
chr14	47505133	47506846	1714
chr14	47554149	47554559	411
chr14	55524252	55524922	671
chr14	56614766	56615714	949
chr14	60970183	60970828	646
chr14	63375069	63375895	827
chr14	66638461	66639020	560
chr14	67806762	67807261	500
chr14	70124245	70124754	510
chr14	70492601	70492778	178
chr14	70977310	70977765	456
chr14	79474970	79476802	1833
chr14	101898700	101899851	1152
chr14	101914338	101914659	322
chr10	11081964	11082248	285
chr10	13105894	13106305	412
chr10	18215428	18216259	832
chr10	19893066	19894249	1184
chr10	32889199	32889642	444
chr10	60383951	60384859	909
chr10	60399977	60400413	437
chr10	60405072	60406284	1213
chr10	60425619	60426607	989
chr10	63168856	63169254	399
chr10	68751329	68752568	1240
chr10	74482178	74482564	387
chr10	75178024	75178495	472
chr10	82754326	82754964	639
chr10	88906407	88906917	511
chr10	109866116	109866930	815
chr10	123167956	123168226	271
chr10	127179009	127179624	616
chr2	10557711	10558239	529
chr2	20340110	20340416	307
chr2	24630905	24631898	994
chr2	29154097	29154518	422
chr2	29902342	29902886	545
chr2	32004472	32005007	536
chr2	32010366	32010412	47
chr2	32220177	32220527	351
chr2	50296903	50297305	403
chr2	69965516	69966499	984
chr2	71367334	71367512	179
chr2	72239155	72239669	515
chr2	75665302	75665439	138
chr2	76942582	76942846	265
chr2	76976639	76977092	454
chr2	77214362	77215061	700
chr2	77414282	77414572	291
chr2	77518968	77519427	460
chr2	80644280	80645520	1241
chr2	104436500	104436996	497
chr2	121340441	121340750	310
chr2	127746316	127747999	1684
chr2	127867367	127868332	966
chr2	130777819	130778416	598
chr2	152415723	152416840	1118
chr2	156125768	156126318	551
chr2	162661797	162663233	1437
chr2	166274133	166275803	1671
chr2	167421766	167422904	1139
chr2	173023382	173023765	384
chr2	174420434	174421598	1165
chr5	5194598	5195277	680
chr5	21302925	21303063	139
chr5	32352263	32353194	932
chr5	65969270	65970072	803
chr5	69585876	69586464	589
chr5	72203564	72205135	1572
chr5	74627598	74628119	522
chr5	88665418	88665756	339
chr5	107539224	107539450	227
chr5	107574181	107575231	1051
chr5	112840295	112840619	325
chr5	112877193	112877984	792
chr5	116476694	116477058	365
chr5	124646817	124647126	310
chr5	124713459	124713800	342
chr5	127553348	127554565	1218
chr5	129685568	129685914	347
chr5	129978629	129979552	924
chr5	129997581	129997779	199
chr5	134196606	134197014	409
chr5	134602734	134603098	365
chr5	137306277	137307045	769
chr5	137328106	137328436	331
chr5	137466247	137466952	706
chr5	139050235	139050657	423
chr5	140881420	140882001	582
chr5	144244616	144245132	517
chr5	146833172	146834066	895
chr5	149501820	149503522	1703
chr5	150557246	150557748	503
chr17	12969083	12969404	322
chr17	29077023	29078890	1868
chr17	29260860	29261736	877
chr17	29543596	29545484	1889
chr17	29679083	29680192	1110
chr17	29846827	29849156	2330
chr17	30758409	30758829	421
chr17	31218134	31218877	744
chr17	38555940	38556581	642
chr17	46025125	46025346	222
chr17	47431966	47433335	1370
chr17	47674921	47675759	839
chr17	57413762	57414913	1152
chr17	67899922	67901281	1360
chr17	75389580	75389923	344
chr17	78683753	78684229	477
chr17	78766624	78766879	256
chr17	80051675	80053522	1848
chr9	3443048	3443732	685
chr9	3456850	3457372	523
chr9	8961554	8961842	289
chr9	9002375	9003619	1245
chr9	74953279	74953479	201
chr9	88413204	88413480	277
chr9	95462167	95462702	536
chr9	96602162	96602712	551
chr9	100544828	100545994	1167
chr9	106951345	106952311	967
chr9	109146111	109146546	436
chr9	117056410	117056736	327
chr9	121951249	121951848	600
chr9	122992003	122992473	471
chr16	18791860	18793177	1318
chr16	18797092	18797348	257
chr16	29432648	29433971	1324
chr16	56243630	56243738	109
chr16	57220726	57231313	10588
chr16	81461730	81462208	479
chr16	81517618	81517862	245
chr18	4354193	4354449	257
chr18	12439472	12440660	1189
chr18	12482148	12483330	1183
chr18	12684886	12685570	685
chr18	31653627	31654948	1322
chr18	31833735	31834431	697
chr18	31893099	31895281	2183
chr18	34613845	34614447	603
chr18	34627015	34627318	304
chr18	36007626	36008170	545
chr18	57363466	57363751	286
chr18	58071432	58071792	361
chr18	58084148	58084576	429
chr18	63245202	63245570	369
chr18	74740626	74740902	277
chr19	3621942	3622509	568
chr19	4271836	4272569	734
chr19	4361186	4361537	352
chr19	11472528	11474310	1783
chr19	11617772	11618415	644
chr19	11618419	11618853	435
chr19	23358605	23359149	545
chr19	23358662	23359149	488
chr19	23718103	23718623	521
chr19	36569503	36570487	985
chr19	40009957	40011630	1674
chr19	40380968	40382520	1553
chr19	41982009	41988529	6521
chr19	44235977	44236247	271
chr19	47109774	47110073	300
chr19	55642984	55643427	444
chr19	57464426	57467453	3028
chr19	57472781	57473164	384
chr19	57753304	57754556	1253
chr19	58257356	58257727	372
chr12	4672834	4672978	145
chr12	8744744	8744834	91
chr12	16557629	16558408	780
chr12	16579614	16579881	268
chr12	31527911	31528618	708
chr12	51723049	51723317	269
chr12	54233753	54240439	6687
chr12	66568345	66568742	398
chr12	76056943	76057186	244
chr12	76355222	76355888	667
chr12	76355396	76355888	493
chr12	78866768	78867149	382
chr12	79212758	79212955	198
chr12	79279190	79280042	853
chr12	89354480	89355229	750
chr12	100331846	100332578	733
chr12	112044442	112044731	290
chr13	27247974	27249051	1078
chr13	37046986	37047356	371
chr13	45390044	45390366	323
