chr	start	end
chr11	70435573	70435692
chr11	118482032	118482089
chr6	83151077	83151169
chr6	130052878	130052964
chr17	7932246	7932412
chr18	12413858	12414441
chr11	65021821	65021940
chr11	65855082	65855186
chrX	102127137	102127191
chr1	150694764	150694836
chr1	160997741	160997860
chr1	173865345	173865398
chr5	150449600	150449643
chr13	55412373	55412445
chr15	68184206	68184420
chr7	4759133	4759213
chr7	5067648	5067718
chr7	24710222	24710359
chr7	102465814	102465891
chr12	69258628	69258768
chr12	69817967	69818021
chr11	65021835	65021940
chr11	67283866	67284240
chr11	69652308	69652367
chr11	75571881	75572038
chr11	116863947	116864047
chr2	26940046	26940127
chr17	28859072	28860544
chr1	39333952	39334050
chr1	75521850	75521927
chr1	193181215	193181305
chr3	122924657	122924715
chr5	116189439	116190059
chrX	150987795	150987838
chr19	12613562	12614245
chr5	34907247	34907297
chr13	73691582	73691680
chr11	6403365	6403515
chr11	65855072	65855186
chr11	65855070	65855186
chr11	102398463	102398573
chr2	167646910	167646967
chr2	173112139	173112243
chr12	55716123	55716961
chr6	47920750	47925274
chr1	156669209	156669370
chr17	7236128	7236167
chr17	35844571	35844792
chr17	46704782	46704832
chr14	74736035	74737220
chr2	26391967	26392036
chr12	8790867	8790917
chr5	112715381	112715518
chr15	44528328	44528460
chr15	74544346	74544477
chr9	95476032	95476106
chr7	19698344	19698403
chr1	160997741	160997824
chr10	42318486	42318591
chr19	4394368	4394791
chr19	56377943	56378054
chr19	58300167	58300241
chr13	19675539	19675639
chr3	69027899	69028294
chr3	88058087	88058129
chr3	88100717	88100968
chr7	99479734	99479875
chr12	56734145	56738469
chr1	156673457	156673529
chr15	44526880	44526969
chr15	70048366	70048479
chrX	48482641	48482721
chr4	139388466	139388534
chr4	145138484	145138563
chr11	3358897	3358994
chr11	59202660	59202769
chr11	61799767	61799901
chr11	61799804	61799901
chr11	65855039	65855186
chr11	65855085	65855186
chr11	78494607	78496988
chr16	15700738	15700935
chr14	21092442	21093079
chr8	22565699	22565826
chr9	95942737	95942855
chr9	106861053	106861463
chr2	165682883	165683136
chr8	22090296	22090479
chr8	23135835	23135992
chr8	24914268	24914318
chr11	70435573	70435725
chr9	121766583	121766673
chr19	4838996	4839196
chr19	6374609	6374670
chr2	73573200	73573259
chr7	19698345	19698403
chr7	19698342	19698403
chr7	44112748	44113024
chr7	100430827	100431043
chr7	141088402	141088453
chr6	117907209	117907429
chr6	125031023	125032637
chr6	126644174	126644255
chr17	35844571	35844726
chr17	35844571	35844936
chr4	139061936	139062073
chr16	15700738	15700944
chr16	18784745	18784805
chr16	21504488	21506001
chr12	55716130	55716961
chr12	75938802	75939597
chr12	79295381	79295476
chr14	33068643	33068823
chr16	21976170	21976232
chr4	103149206	103149295
chr4	139410530	139410587
chr4	150611017	150611096
chr9	97482881	97482938
chr9	119321934	119322004
chr9	124353430	124353464
chr6	38149521	38149555
chr6	38391565	38391659
chr6	117907209	117907488
chr6	124494044	124494095
chr3	37000122	37000225
chr3	85746015	85746088
chr3	123350871	123351012
chr1	71564968	71565079
chr1	75417741	75417783
chr1	179043666	179043736
chr7	43452958	43453005
chr7	130519811	130519876
chr7	130536909	130536982
chr7	130536916	130536982
chr5	32362602	32362676
chr5	76640996	76641085
chr5	103550315	103550411
chr11	73110604	73110722
chr11	114710186	114710249
chr2	73853721	73853794
chr2	158086487	158086555
chr13	66998417	66998549
chr13	95976481	95976599
chrX	74152231	74152291
chrX	102127137	102127288
chr18	36796111	36796187
chr12	55716116	55716961
chr12	70292109	70292265
chr19	3575563	3575640
chr19	10919961	10920403
chr6	138416334	138416414
chr16	4668632	4668743
chr7	19698336	19698403
chr4	75950553	75950650
chr3	76075737	76075865
chr17	7251647	7251686
chr11	46277850	46278058
chr11	59132371	59132460
chr2	37645327	37645470
chr2	178430839	178433432
chr16	18418398	18424303
chr8	104497814	104497966
chr5	31526249	31526614
chr17	7352578	7352621
chr7	80743712	80743792
chr7	82285131	82285173
chr1	156294390	156294434
chr1	180973203	180973294
chr11	65855083	65855186
chr11	70435573	70435846
chr11	75571881	75571970
chr11	118482032	118482489
chr6	30744395	30744458
chr6	30895469	30895541
chr5	76637072	76637143
chr17	32929032	32929137
chr11	65855026	65855186
chr11	65855033	65855186
chr11	65855081	65855186
chr11	69641354	69641391
chr7	45103458	45103639
chr7	100093311	100093371
chr3	126998092	126998323
chrX	48482639	48482721
chr12	31282760	31282868
chr12	110545902	110545982
chr4	99057759	99061178
chr2	69880664	69880766
chr6	43523767	43523883
chrX	74197178	74197362
chr17	46721879	46721919
chr17	46721879	46721922
chr1	43990663	43990704
chr14	55633236	55633333
chr14	74736035	74737211
chr11	65855136	65855186
chr13	112882992	112883099
chr15	85580908	85581379
chr7	44468160	44468276
chr7	102465814	102465933
chr7	128460986	128461124
chr9	121766583	121766693
chr15	75896757	75896819
chr1	58480896	58480959
chr14	59384725	59384783
chr14	69714723	69714778
chr7	92040867	92042079
chr4	44762475	44764618
chr4	99061015	99061178
chr4	145138523	145138563
chr4	150166483	150166635
chr4	150908251	150908317
chr17	32381031	32381083
chr17	46935341	46935433
chr11	59807742	59807799
chr11	60709728	60709944
chr11	65855010	65855186
chr11	69665926	69666019
chr12	69258628	69258861
chr6	17656445	17656550
chr6	30687309	30693636
chr6	143195316	143195412
chr19	11480400	11480451
chr19	39539031	39539082
chr19	42250092	42250140
chr19	43849625	43849775
chr19	48645848	48645973
chr2	24824894	24824944
chr2	37645324	37645470
chr2	69993813	69993865
chr2	113699920	113700060
chr2	148690234	148690303
chr2	165682883	165683073
chr8	91070407	91070448
chrX	150987206	150987838
chr10	97674836	97674879
chr11	84905644	84905905
chr11	101991513	101991607
chr11	117702401	117702438
chr14	31168323	31168411
chr19	4197417	4197476
chr19	34672363	34672435
chr19	44132002	44132085
chr4	26340348	26340416
chr4	41635148	41635204
chr4	139410530	139410591
chr9	8946951	8947006
chr9	110108393	110109025
chr16	14188405	14188483
chr7	19698341	19698403
chr7	26371935	26371988
chr7	45614996	45615068
chr7	122595074	122595161
chr7	130536917	130536982
chr7	130536914	130536982
chr10	77593018	77593062
chr10	82670153	82670277
chr2	25467185	25467286
chr2	76807892	76807990
chr2	76857107	76857154
chr2	158058828	158071688
chr2	178395794	178395837
chr2	178395792	178395837
chr5	24550465	24550599
chr5	45498594	45498691
chr5	65659494	65659606
chr5	65659543	65659606
chr5	67747217	67747277
chr5	138611778	138611823
chr15	51789908	51789992
chr15	71981769	71981839
chr18	11882786	11882848
chr1	63585456	63585536
chr1	182301199	182301264
chr11	118398056	118398120
chr12	31282760	31282830
chr5	36031082	36031151
chr5	136754840	136754914
chr6	43523779	43523883
chr1	150164754	150164813
chr14	24138197	24138236
chr7	101244217	101244296
chrX	102127137	102127190
chr19	40736885	40738489
chr19	44088596	44088674
chr19	48796468	48796504
chr19	55091093	55091135
chr17	7236128	7236192
chr17	7932246	7932387
chr15	44561890	44561966
chr11	49827246	49827330
chr11	49827246	49827298
chr11	57771468	57771585
chr11	106000036	106000074
chr9	69428575	69428736
chr9	73038581	73038622
chr9	105395666	105395799
chr1	180973203	180973295
chr13	66998446	66998549
chr19	4197255	4197338
chr19	17642379	17642492
chr19	40609040	40609201
chr19	45640237	45640425
chr19	57753304	57753471
chr6	97118793	97118880
chr17	34052518	34052562
chr5	21739010	21739092
chr12	111184337	111184402
chr2	26388353	26388491
chr2	32418345	32419047
chr2	76885053	76885124
chr2	91560807	91560911
chr4	65323887	65324023
chr4	122885726	122885813
chrX	12136326	12136400
chrX	37839369	37839418
chrX	102127137	102127360
chrX	103609196	103609303
chr4	83460994	83461185
chr11	3370851	3370968
chr11	65855137	65855186
chr11	103078196	103078238
chr11	110230431	110230488
chr7	100706894	100707304
chr17	7236128	7236173
chrX	101102295	101102367
chr19	38931076	38931110
chr19	46044757	46044829
chr17	7932246	7932314
chr11	34083470	34084083
chr9	107331397	107331444
chr6	18235348	18235397
chr5	138187721	138187862
chr5	138766708	138766807
chr3	127573326	127573445
chr2	27027038	27027140
chr2	27241151	27241385
chr2	69465344	69465588
chr10	14133895	14133940
chr10	97714856	97714976
chr12	55719151	55719583
chr12	69258628	69258675
chr13	110903528	110903614
chr7	102190469	102191902
chr18	36796645	36796743
chr12	56511507	56511548
chr11	59132407	59132460
chr11	69432795	69432853
chr17	28769529	28769720
chr17	66690268	66690424
chr4	137521493	137521572
chrX	102127137	102127329
chr2	135938342	135938422
chr5	76637072	76637163
chr10	80154473	80154542
chr11	43444831	43444937
chr11	65021777	65021940
chr5	72203564	72205129
chr19	23932717	23932800
chr1	38036274	38036344
chr1	40465811	40465864
chr1	165663509	165663565
chr15	48151476	48151560
chr9	105516630	105521039
chr2	27027054	27027140
chr2	41670271	41670900
chr2	65526415	65526496
chr2	76807914	76807990
chr2	91562844	91562906
chr2	178395793	178395837
chr16	56770144	56770212
chr14	70563683	70564849
chr17	6947912	6947977
chr17	43568787	43568875
chr10	21986208	21986814
chr10	88174934	88175038
chr6	42629274	42629400
chr1	17696875	17696995
chr11	120450508	120450590
chr4	144779626	144779715
chr9	95935577	95935651
chr3	116297080	116297130
chr3	127687460	127687581
chr12	86140096	86140176
chr5	74628042	74628119
chr5	143388986	143389081
chr7	44227681	44227777
chr7	45722655	45722721
chr19	4197429	4197476
chr14	54478102	54478138
chr14	64782396	64782545
chr17	7927080	7927129
chr17	8173009	8173138
chr17	28329048	28329095
chr17	32929776	32929854
chr17	35844571	35844855
chr9	114597718	114597794
chrX	78126136	78126203
chrX	78129324	78129380
chr19	37599694	37601048
chr19	44107204	44107287
chr19	44107203	44107287
chr19	48645848	48646028
chr19	58266958	58266998
chr5	87666257	87666338
chr5	135345918	135346089
chr5	141975715	141975764
chr5	146751596	146751694
chr5	147615015	147615128
chr6	35287140	35287346
chr2	25234129	25234179
chr2	121337772	121337821
chr7	44112748	44112846
chr7	139525782	139525894
chr3	127687520	127687581
chr1	93319878	93319959
chr1	153752060	153752177
chr1	184795234	184795305
chr11	62882020	62882992
chr11	67283866	67284239
chr11	70435573	70435696
chr11	72690035	72690114
chr13	41056554	41056602
chr13	98887798	98888465
chr13	112883013	112883099
chr2	27241163	27241385
chr2	117903242	117903292
chr2	152415723	152418231
chr9	107331409	107331444
chr9	110251148	110253345
chr3	88163088	88164144
chr6	30744395	30744469
chr18	35249813	35249868
chr19	10256733	10256817
chr19	38652112	38653361
chr14	24150062	24150138
chr5	145573309	145573462
chr8	94650348	94651406
chr7	26371941	26371988
chr7	127579974	127582008
chr10	78039766	78039942
chr2	27241995	27242701
chr2	127056305	127056333
chr2	135741888	135741983
chr19	3979617	3979817
chr19	48796468	48796506
chr14	49768374	49768408
chr7	19698335	19698403
chr7	44882867	44882967
chr7	49770948	49771030
chr15	74544346	74544438
chr11	61803489	61803641
chr5	31526539	31526614
chr17	6445175	6445311
chr17	6445238	6445311
chr17	7236128	7236304
chr17	47619063	47619158
chr11	65855031	65855186
chr11	65855032	65855186
chr11	65855080	65855186
chr12	54233753	54240435
chr12	111448640	111449177
chr19	48645848	48645910
chr15	82043408	82043896
chr1	93330468	93330754
chrX	23364498	23364955
chrX	49033476	49040515
chrX	71556009	71556711
chrX	74019044	74019899
chrX	74232085	74233148
chrX	74255877	74256297
chrX	74255877	74256136
chrX	74271025	74271555
chrX	74741280	74741326
chrX	101412006	101412137
chrX	101640323	101640785
chrX	103609218	103609303
chrX	111399638	111400207
chrX	138966477	138966813
chr8	64691348	64692642
chr8	70377257	70377671
chr8	72434171	72434789
chr8	79665144	79665627
chr8	79665144	79665839
chr8	79665144	79665559
chr8	79665144	79665813
chr8	79665144	79665425
chr8	79665144	79665704
chr8	79665144	79665750
chr8	80663517	80663551
chr8	80775782	80776160
chr8	84536459	84537114
chr8	105338537	105338853
chr8	105346726	105347652
chr8	105676179	105677119
chr8	109624487	109625077
chr8	117734707	117736405
chr8	124529057	124529708
chr6	3288701	3289003
chr6	30643629	30644569
chr6	35234817	35235146
chr6	38180545	38181313
chr6	71920753	71922569
chr6	71926812	71927245
chr6	73121443	73121779
chr6	88844752	88845065
chr6	107530244	107530872
chr6	145808563	145808915
chr6	147535792	147536506
chr7	4061619	4063068
chr7	6415245	6415924
chr7	7246408	7247131
chr7	15951323	15952065
chr7	16201409	16201929
chr7	23355278	23357155
chr7	28094200	28094572
chr7	28142785	28143386
chr7	33650292	33653203
chr7	43950737	43951213
chr7	44393568	44394063
chr7	55926527	55927023
chr7	67267489	67268066
chr7	70386549	70386828
chr7	73440538	73441585
chr7	78593897	78594398
chr7	78711333	78712218
chr7	78711756	78712218
chr7	80743309	80743792
chr7	82273995	82274453
chr7	92567742	92568364
chr7	98265834	98266136
chr7	100430827	100431055
chr7	102223491	102224541
chr7	102465814	102466267
chr7	112023747	112024293
chr7	112856065	112856591
chr7	120283242	120283666
chr7	120375157	120375869
chr7	120465803	120466225
chr7	120503508	120504330
chr7	130515797	130516104
chr7	130542325	130542679
chr7	133678435	133678545
chr7	135674383	135675254
chr7	137234903	137235857
chr7	139677994	139678489
chr7	141266056	141266389
chr3	27468197	27468865
chr3	28625223	28625381
chr3	28650198	28650740
chr3	28708678	28710992
chr3	37011005	37011111
chr3	51395300	51396426
chr3	79085321	79085744
chr3	79668729	79670846
chr3	84976385	84977077
chr3	89232116	89232504
chr3	89244111	89244149
chr3	89358215	89358561
chr3	116010697	116011405
chr3	116593825	116594638
chr3	117672035	117672346
chr3	117831104	117832839
chr3	117832325	117832839
chr3	122426755	122427123
chr3	124405213	124406330
chr3	124413843	124414311
chr3	135228916	135229818
chr3	136868727	136869188
chr3	136888025	136888677
chr15	37002867	37003685
chr15	37005862	37007127
chr15	41826053	41826688
chr15	44491137	44492584
chr15	44570050	44570883
chr15	73567167	73567424
chr15	74571516	74571851
chr15	74798828	74799418
chr15	78293367	78294341
chr15	78293549	78294341
chr15	81889435	81890398
chr15	82197787	82198195
chr15	83000979	83001414
chr15	85126746	85127467
chr15	89190471	89190873
chr15	90225855	90227037
chr15	91872578	91873056
chr15	92399834	92400373
chr15	98721177	98721738
chr15	98727752	98727956
chr11	4069351	4069465
chr11	6622103	6623815
chr11	11942880	11943881
chr11	16992355	16992887
chr11	21268864	21269482
chr11	24560522	24561475
chr11	30149639	30149929
chr11	34083470	34083890
chr11	43433820	43434522
chr11	45887551	45887756
chr11	59809045	59809659
chr11	60932272	60932625
chr11	65854816	65855186
chr11	66146379	66147192
chr11	70435573	70435883
chr11	74866254	74866568
chr11	76133815	76134408
chr11	77021491	77021933
chr11	77021491	77021937
chr11	79412759	79413518
chr11	83774509	83775350
chr11	84880512	84881259
chr11	84888168	84888355
chr11	99492285	99492668
chr11	106097113	106097981
chr11	106761297	106761572
chr11	117077203	117078174
chr11	118502433	118502841
chr11	120432557	120433047
chr1	10116085	10116404
chr1	33479752	33480457
chr1	36173788	36174078
chr1	43960968	43967002
chr1	43960968	43966618
chr1	51783029	51784436
chr1	58102651	58103143
chr1	58153573	58154244
chr1	69858611	69859086
chr1	75415743	75416576
chr1	75423948	75424307
chr1	75492144	75492505
chr1	119616656	119617363
chr1	120487780	120488146
chr1	150819101	150819358
chr1	151448498	151448539
chr1	167326021	167326496
chr1	173761031	173761598
chr1	173761278	173761598
chr1	173933355	173933782
chr1	174330637	174330702
chr1	183314083	183314412
chr4	5729658	5730231
chr4	75949960	75950650
chr4	82352871	82353522
chr4	82948769	82950243
chr4	86228055	86228728
chr4	98382578	98383067
chr4	101187574	101189078
chr4	104479276	104480154
chr4	104479276	104480994
chr4	113041683	113046739
chr4	113485919	113486582
chr4	116325349	116326072
chr4	118158438	118160133
chr4	118167635	118168384
chr4	133190260	133191294
chr4	140537456	140542633
chr4	140552056	140552527
chr4	141071598	141072528
chr4	141072146	141072528
chr14	21092442	21093036
chr14	21092442	21092647
chr14	31150082	31150147
chr14	32418017	32418785
chr14	32448182	32448928
chr14	33009270	33009457
chr14	33364515	33365407
chr14	47266511	47266980
chr14	47505133	47506846
chr14	47554149	47554559
chr14	55524252	55524922
chr14	56614766	56615714
chr14	60970183	60970828
chr14	63375069	63375895
chr14	66638461	66639020
chr14	67806762	67807261
chr14	70124245	70124754
chr14	70492601	70492778
chr14	70977310	70977765
chr14	79474970	79476802
chr14	101898700	101899851
chr14	101914338	101914659
chr10	11081964	11082248
chr10	13105894	13106305
chr10	18215428	18216259
chr10	19893066	19894249
chr10	32889199	32889642
chr10	60383951	60384859
chr10	60399977	60400413
chr10	60405072	60406284
chr10	60425619	60426607
chr10	63168856	63169254
chr10	68751329	68752568
chr10	74482178	74482564
chr10	75178024	75178495
chr10	82754326	82754964
chr10	88906407	88906917
chr10	109866116	109866930
chr10	123167956	123168226
chr10	127179009	127179624
chr2	10557711	10558239
chr2	20340110	20340416
chr2	24630905	24631898
chr2	29154097	29154518
chr2	29902342	29902886
chr2	32004472	32005007
chr2	32010366	32010412
chr2	32220177	32220527
chr2	50296903	50297305
chr2	69965516	69966499
chr2	71367334	71367512
chr2	72239155	72239669
chr2	75665302	75665439
chr2	76942582	76942846
chr2	76976639	76977092
chr2	77214362	77215061
chr2	77414282	77414572
chr2	77518968	77519427
chr2	80644280	80645520
chr2	104436500	104436996
chr2	121340441	121340750
chr2	127746316	127747999
chr2	127867367	127868332
chr2	130777819	130778416
chr2	152415723	152416840
chr2	156125768	156126318
chr2	162661797	162663233
chr2	166274133	166275803
chr2	167421766	167422904
chr2	173023382	173023765
chr2	174420434	174421598
chr5	5194598	5195277
chr5	21302925	21303063
chr5	32352263	32353194
chr5	65969270	65970072
chr5	69585876	69586464
chr5	72203564	72205135
chr5	74627598	74628119
chr5	88665418	88665756
chr5	107539224	107539450
chr5	107574181	107575231
chr5	112840295	112840619
chr5	112877193	112877984
chr5	116476694	116477058
chr5	124646817	124647126
chr5	124713459	124713800
chr5	127553348	127554565
chr5	129685568	129685914
chr5	129978629	129979552
chr5	129997581	129997779
chr5	134196606	134197014
chr5	134602734	134603098
chr5	137306277	137307045
chr5	137328106	137328436
chr5	137466247	137466952
chr5	139050235	139050657
chr5	140881420	140882001
chr5	144244616	144245132
chr5	146833172	146834066
chr5	149501820	149503522
chr5	150557246	150557748
chr17	12969083	12969404
chr17	29077023	29078890
chr17	29260860	29261736
chr17	29543596	29545484
chr17	29679083	29680192
chr17	29846827	29849156
chr17	30758409	30758829
chr17	31218134	31218877
chr17	38555940	38556581
chr17	46025125	46025346
chr17	47431966	47433335
chr17	47674921	47675759
chr17	57413762	57414913
chr17	67899922	67901281
chr17	75389580	75389923
chr17	78683753	78684229
chr17	78766624	78766879
chr17	80051675	80053522
chr9	3443048	3443732
chr9	3456850	3457372
chr9	8961554	8961842
chr9	9002375	9003619
chr9	74953279	74953479
chr9	88413204	88413480
chr9	95462167	95462702
chr9	96602162	96602712
chr9	100544828	100545994
chr9	106951345	106952311
chr9	109146111	109146546
chr9	117056410	117056736
chr9	121951249	121951848
chr9	122992003	122992473
chr16	18791860	18793177
chr16	18797092	18797348
chr16	29432648	29433971
chr16	56243630	56243738
chr16	57220726	57231313
chr16	81461730	81462208
chr16	81517618	81517862
chr18	4354193	4354449
chr18	12439472	12440660
chr18	12482148	12483330
chr18	12684886	12685570
chr18	31653627	31654948
chr18	31833735	31834431
chr18	31893099	31895281
chr18	34613845	34614447
chr18	34627015	34627318
chr18	36007626	36008170
chr18	57363466	57363751
chr18	58071432	58071792
chr18	58084148	58084576
chr18	63245202	63245570
chr18	74740626	74740902
chr19	3621942	3622509
chr19	4271836	4272569
chr19	4361186	4361537
chr19	11472528	11474310
chr19	11617772	11618415
chr19	11618419	11618853
chr19	23358605	23359149
chr19	23358662	23359149
chr19	23718103	23718623
chr19	36569503	36570487
chr19	40009957	40011630
chr19	40380968	40382520
chr19	41982009	41988529
chr19	44235977	44236247
chr19	47109774	47110073
chr19	55642984	55643427
chr19	57464426	57467453
chr19	57472781	57473164
chr19	57753304	57754556
chr19	58257356	58257727
chr12	4672834	4672978
chr12	8744744	8744834
chr12	16557629	16558408
chr12	16579614	16579881
chr12	31527911	31528618
chr12	51723049	51723317
chr12	54233753	54240439
chr12	66568345	66568742
chr12	76056943	76057186
chr12	76355222	76355888
chr12	76355396	76355888
chr12	78866768	78867149
chr12	79212758	79212955
chr12	79279190	79280042
chr12	89354480	89355229
chr12	100331846	100332578
chr12	112044442	112044731
chr13	27247974	27249051
chr13	37046986	37047356
chr13	45390044	45390366
chr13	56242913	56243781
chr13	56451280	56452234
chr13	56609781	56610096
chr13	66976812	66977728
chr13	67092908	67097792
chr13	73688732	73689044
chr13	77135631	77136476
chr13	93711459	93711644
chr13	94057907	94058854
chr13	94359232	94359895
chr13	99344876	99345340
chr13	110902793	110903368
chr19	5697480	5697528
chr11	65855011	65855186
chr1	72274831	72274885
chr17	47141910	47142421
chr14	20458141	20458569
chr7	43637111	43637222
chr13	33255163	33255509
chr11	65854919	65855186
chr6	130188579	130188629
chr12	118079347	118082430
chr19	48645848	48645907
chr2	158547795	158548679
chr12	77450277	77450899
chr7	44310297	44310492
chr7	139567438	139571643
chr9	14761115	14761604
chr9	122892392	122892581
chr10	42567072	42567488
chr19	23259610	23259646
chr13	74052275	74052880
chr5	136993314	136993657
chr14	33040545	33041153
chr17	28661826	28661864
chr18	61690408	61691986
chr19	56474255	56475308
chr15	80884383	80884693
chr13	107738091	107738371
chr5	38479629	38480038
chr5	124747774	124747983
chr7	130536913	130536982
chr7	134292789	134293227
chr5	72203564	72209379
chr17	57106287	57106825
chr3	129810052	129810525
chr11	59800828	59801042
chr11	65855086	65855186
chr2	101733823	101734604
chr9	78470792	78470843
chr9	108960312	108960453
chr5	140706097	140706147
chr5	143227018	143227055
chrX	101413062	101413111
chr7	19698337	19698403
chr7	100093336	100093371
chr3	152451399	152451459
chr2	25233823	25234179
chr18	12986398	12986983
chrX	103609214	103609303
chr16	4696537	4696585
chr5	74627776	74628119
chr5	88665440	88665756
chr5	138184011	138184331
chr15	89302385	89302451
chr7	3412208	3412772
chr7	26374066	26375246
chr5	127281397	127281537
chr13	110901357	110903368
chr19	6414042	6414175
chr19	7682660	7682758
chr15	74544346	74544417
chr15	64701605	64701990
chr13	63844687	63845053
chr13	100306627	100307026
chr8	15112067	15112583
chr8	104113103	104115611
chr8	104113103	104113678
chr11	6403365	6403737
chr11	67173569	67174004
chr11	99317580	99318057
chr11	118502769	118503719
chr14	32967049	32967472
chr14	54614716	54616514
chr5	34122265	34122605
chr5	134614340	134614888
chr17	57358757	57360544
chr7	4119781	4120198
chr7	27120016	27121123
chr7	75049114	75049672
chr7	130538005	130538161
chr7	141237703	141239215
chr2	50296903	50297074
chr2	165358586	165358970
chr2	167503602	167504590
chr9	89089973	89090592
chr9	109789735	109790529
chr3	64014385	64015325
chr3	129799295	129800337
chr10	74985092	75025045
chr10	87915350	87915922
chr12	100290425	100292191
chr12	118034310	118036389
chrX	74015972	74016547
chr6	15376827	15377295
chr6	71909240	71910514
chr1	185281741	185281804
chr4	26340111	26340416
chr4	44678847	44679439
chr4	53012048	53012492
chr4	140927219	140927774
chr18	12985317	12985370
chr13	24905709	24905753
chr3	155987448	155987850
chr17	28362561	28362694
chr12	69258628	69258837
chr7	128659153	128659667
chr6	89654159	89654287
chr17	43295261	43295589
chr9	66919021	66919509
chr5	34167353	34167404
chr5	140677337	140677415
chr19	44235977	44236142
chr11	107320949	107321586
chr1	160997741	160997826
chr3	69027899	69027964
chr6	85610937	85610992
chr17	18256937	18256962
chr15	85138066	85138877
chr14	33383496	33383873
chr12	66511570	66511989
chr4	6434316	6435056
chr4	118160029	118160133
chr7	25120437	25120840
chr7	102073317	102074252
chr2	167503602	167503944
chr13	100651718	100652862
chr1	36202584	36202778
chr1	173679037	173679661
chr16	3975819	3976328
chr6	38020984	38021548
chrX	75759555	75760231
chr11	34080221	34080572
chr11	106679804	106681031
chr11	118505256	118505622
chr19	37598678	37599092
chr15	59347692	59348384
chr13	67105975	67107567
chr11	32600872	32601667
chr11	65855138	65855186
chr16	18418433	18424303
chr5	38479770	38480038
chr7	130519310	130519355
chr14	20343081	20343255
chr4	108612221	108612795
chr13	66974558	66976061
chr13	98260123	98260798
chr8	84602040	84602623
chr8	88311148	88312110
chr14	66727832	66728527
chr3	79419420	79420564
chr3	89216888	89217503
chr9	106958203	106958406
chr2	29790560	29790755
chr2	71438813	71440220
chr2	104445836	104446511
chr7	120388271	120388636
chr7	141237703	141238474
chr15	77477132	77477993
chr16	87476888	87477220
chr14	52002463	52002692
chr14	55633286	55633333
chr14	77506239	77506778
chr19	10644264	10644518
